Variable,Description
Year,Year of data collection
LocationAbbr,Location abbreviation
LocationDesc,Location description
Category,Category
Indicator,Indicator description
Response,Response value (yes/no)
Datasource,Data source
Data_Value_Unit,"Description of unit (e.g.%, $, etc)"
Data_Value_Type,"Description of type of data (e.g. Population, Percentage, Rank)"
Data_Value,"Data value (0, 14.7, 97, etc.)"
Data_Value_Footnote_Symbol,Footnote symbol indicating there will be a footnote following
Data_Value_Footnote,Text of the footnote associated with the symbol preceding
High_Confidence_Interval,High confidence interval
Low_Confidence_Interval,Low confidence interval
SampleSize,Sample size
Break_Out,Data stratified by this value
LocationID,Location lookup value for use in programming; can be used to filter the data
GeoLocation,Latitude & Longitude to be provided for formatting GeoLocation
SortUSFirst,Value that allows program to sort US data first
Break_Out_Category,Data stratified by this Group
Break_Out_ID,Breakout lookup value for use in programming; can be used to filter the data
SortBreakOutID,Breakout value that allows for sorting; for use in programming and can be used to filter the data
IndicatorID,Indicator lookup value for use in programming; can be used to filter the data
