# Binance Spot Market Data v4.0.0
# Generated: 2025-09-15T21:18:04.086580Z
# Source: Binance Public Data Repository
# Market: SPOT | Symbol: SOLUSDT | Timeframe: 15m
# Coverage: 96 bars
# Period: 2022-01-01 00:00:00 to 2022-01-01 23:45:00
# Collection: test in 1.0s
# Data Hash: 1ccb7e6ac76d413e...
# Compliance: Zero-Magic-Numbers, Temporal-Integrity, Official-Binance-Source
#
date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2022-01-01 00:00:00,170.01,170.91,169.93,170.85,9852.82,2022-01-01 00:14:59,1679579.0261,2013,5625.43,959021.0473
2022-01-01 00:15:00,170.85,171.39,170.73,171.14,8412.0,2022-01-01 00:29:59,1439544.1693,1847,4435.04,758876.4772
2022-01-01 00:30:00,171.18,171.9,171.05,171.75,7446.54,2022-01-01 00:44:59,1277499.3417,1939,4597.9,788780.2617
2022-01-01 00:45:00,171.74,172.57,171.54,172.38,11170.95,2022-01-01 00:59:59,1924087.5188,2790,5665.08,975561.026
2022-01-01 01:00:00,172.37,172.87,171.77,172.87,7042.45,2022-01-01 01:14:59,1214127.1555,2805,3999.96,689591.2358
2022-01-01 01:15:00,172.86,174.3,172.73,173.73,17926.0,2022-01-01 01:29:59,3114210.4752,5395,10879.02,1889698.837
2022-01-01 01:30:00,173.74,174.28,173.42,173.46,7419.3,2022-01-01 01:44:59,1290809.3927,1848,3793.5,660082.6502
2022-01-01 01:45:00,173.46,173.52,172.17,172.73,18357.51,2022-01-01 01:59:59,3171286.4785,3372,6184.14,1068287.6491
2022-01-01 02:00:00,172.73,173.01,172.57,172.7,4812.83,2022-01-01 02:14:59,831727.7551,1178,3030.5,523689.3933
2022-01-01 02:15:00,172.73,173.22,172.73,172.96,4145.08,2022-01-01 02:29:59,717146.5709,1120,2070.19,358155.6346
2022-01-01 02:30:00,172.96,173.02,172.55,172.71,3746.29,2022-01-01 02:44:59,647269.6256,1037,1762.95,304628.4385
2022-01-01 02:45:00,172.76,172.96,172.59,172.75,4306.06,2022-01-01 02:59:59,743819.8585,936,1948.53,336618.8726
2022-01-01 03:00:00,172.76,172.85,172.53,172.69,5414.93,2022-01-01 03:14:59,935103.7948,1059,3094.13,534333.2131
2022-01-01 03:15:00,172.68,172.85,172.5,172.65,3736.06,2022-01-01 03:29:59,645063.394,864,2376.43,410325.8086
