diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2]
0.01,283.15,8.44485797183,0.897966983654,5.40305521712e-14,9.83990994223e-08
0.02,283.15,8.44485797183,0.897966983654,3.45793264554e-12,7.87559170977e-07
0.03,283.15,8.44485797183,0.897966983654,3.93875963154e-11,2.66008057174e-06
0.04,283.15,8.44485797183,0.897966983654,2.21301987824e-10,6.31226600929e-06
0.05,283.15,8.44485797183,0.897966983654,8.44183822395e-10,1.23460167531e-05
0.060000000000000005,283.15,8.44485797183,0.897966983654,2.52065987251e-09,2.13707553833e-05
0.06999999999999999,283.15,8.44485797183,0.897966983654,6.35598551351e-09,3.40053982608e-05
0.08,283.15,8.44485797183,0.897966983654,1.41618744949e-08,5.08803431198e-05
0.09,283.15,8.44485797183,0.897966983654,2.87091434696e-08,7.26395252001e-05
0.09999999999999999,283.15,8.44485797183,0.897966983654,5.40191722893e-08,9.9942518086e-05
0.11,283.15,8.44485797183,0.897966983654,9.56940724071e-08,0.00013346662152
0.12,283.15,8.44485797183,0.897966983654,1.61285715761e-07,0.000173909125894
0.13,283.15,8.44485797183,0.897966983654,2.60703264783e-07,0.000221989425608
0.14,283.15,8.44485797183,0.897966983654,4.06659689483e-07,0.00027845147525
0.15000000000000002,283.15,8.44485797183,0.897966983654,6.15156520752e-07,0.000344066016989
0.16,283.15,8.44485797183,0.897966983654,9.06007743573e-07,0.000419632971759
0.17,283.15,8.44485797183,0.897966983654,1.30340171896e-06,0.000505984120692
0.18000000000000002,283.15,8.44485797183,0.897966983654,1.83650267691e-06,0.00060398534286
0.19,283.15,8.44485797183,0.897966983654,2.54008870708e-06,0.000714539469196
0.2,283.15,8.44485797183,0.897966983654,3.45523255595e-06,0.00083858890947
0.21000000000000002,283.15,8.44485797183,0.897966983654,4.63001556342e-06,0.000977118339895
0.22,283.15,8.44485797183,0.897966983654,6.12028402525e-06,0.00113115761163
0.23,283.15,8.44485797183,0.897966983654,7.99044520626e-06,0.00130178463289
0.24000000000000002,283.15,8.44485797183,0.897966983654,1.03142990511e-05,0.00149012849239
0.25,283.15,8.44485797183,0.897966983654,1.31759101904e-05,0.00169737237832
0.26,283.15,8.44485797183,0.897966983654,1.66705157804e-05,0.00192475683964
0.27,283.15,8.44485797183,0.897966983654,2.09054911768e-05,0.00217358310984
0.28,283.15,8.44485797183,0.897966983654,2.60013200002e-05,0.00244521637873
0.29000000000000004,283.15,8.44485797183,0.897966983654,3.20926370121e-05,0.00274108936656
0.3,283.15,8.44485797183,0.897966983654,3.9329293392e-05,0.00306270583805
0.31,283.15,8.44485797183,0.897966983654,4.78774812415e-05,0.00341164414868
0.32,283.15,8.44485797183,0.897966983654,5.79208639431e-05,0.00378956130437
0.33,283.15,8.44485797183,0.897966983654,6.96617952998e-05,0.00419819666483
0.34,283.15,8.44485797183,0.897966983654,8.33225369007e-05,0.00463937625411
0.35000000000000003,283.15,8.44485797183,0.897966983654,9.91465550934e-05,0.00511501586506
0.36000000000000004,283.15,8.44485797183,0.897966983654,0.000117399801009,0.00562712670314
0.37,283.15,8.44485797183,0.897966983654,0.000138372176635,0.00617781846383
0.38,283.15,8.44485797183,0.897966983654,0.000162378848329,0.00676930495143
0.39,283.15,8.44485797183,0.897966983654,0.000189761774095,0.00740390734346
0.4,283.15,8.44485797183,0.897966983654,0.000220891150101,0.00808406006505
0.41000000000000003,283.15,8.44485797183,0.897966983654,0.000256167078503,0.00881231461108
0.42000000000000004,283.15,8.44485797183,0.897966983654,0.000296021034772,0.00959134523904
0.43,283.15,8.44485797183,0.897966983654,0.000340917801158,0.0104239543503
0.44,283.15,8.44485797183,0.897966983654,0.000391356726793,0.0113130748982
0.45,283.15,8.44485797183,0.897966983654,0.000447874102223,0.0122617798679
0.46,283.15,8.44485797183,0.897966983654,0.000511044507888,0.0132732851792
0.47000000000000003,283.15,8.44485797183,0.897966983654,0.000581482968572,0.0143509537268
0.48000000000000004,283.15,8.44485797183,0.897966983654,0.000659846934167,0.0154983038596
0.49,283.15,8.44485797183,0.897966983654,0.000746838169194,0.0167190151604
0.5,283.15,8.44485797183,0.897966983654,0.000843205012935,0.0180169297575
0.51,283.15,8.44485797183,0.897966983654,0.000949744698705,0.019396065766
0.52,283.15,8.44485797183,0.897966983654,0.00106730545711,0.0208606136749
0.53,283.15,8.44485797183,0.897966983654,0.00119678863098,0.0224149510329
0.54,283.15,8.44485797183,0.897966983654,0.00133915165957,0.024063644022
0.55,283.15,8.44485797183,0.897966983654,0.00149541072378,0.0258114530033
0.56,283.15,8.44485797183,0.897966983654,0.00166664266471,0.0276633435201
0.5700000000000001,283.15,8.44485797183,0.897966983654,0.00185398876539,0.029624485382
0.5800000000000001,283.15,8.44485797183,0.897966983654,0.00205865663294,0.0317002641896
0.59,283.15,8.44485797183,0.897966983654,0.00228192399719,0.0338962868732
0.6,283.15,8.44485797183,0.897966983654,0.00252514130996,0.0362183837978
0.61,283.15,8.44485797183,0.897966983654,0.00278973671014,0.038672617772
0.62,283.15,8.44485797183,0.897966983654,0.00307721620916,0.0412652960993
0.63,283.15,8.44485797183,0.897966983654,0.003389171771,0.0440029627395
0.64,283.15,8.44485797183,0.897966983654,0.00372727970214,0.0468924162837
0.65,283.15,8.44485797183,0.897966983654,0.00409331075553,0.0499407081038
0.66,283.15,8.44485797183,0.897966983654,0.00448912927325,0.053155155398
0.67,283.15,8.44485797183,0.897966983654,0.00491670087343,0.0565433323412
0.68,283.15,8.44485797183,0.897966983654,0.00537809549422,0.0601130971045
0.6900000000000001,283.15,8.44485797183,0.897966983654,0.00587549215321,0.0638725770173
0.7000000000000001,283.15,8.44485797183,0.897966983654,0.00643370917199,0.0679242437982
0.7100000000000001,283.15,8.44485797183,0.897966983654,0.00701501321432,0.072103804478
0.72,283.15,8.44485797183,0.897966983654,0.00764009869856,0.0764996389215
0.73,283.15,8.44485797183,0.897966983654,0.00831166838156,0.0811210038337
0.74,283.15,8.44485797183,0.897966983654,0.00903257030596,0.0859774558784
0.75,283.15,8.44485797183,0.897966983654,0.0098057936984,0.0910788441911
0.76,283.15,8.44485797183,0.897966983654,0.0106344843961,0.0964353137401
0.77,283.15,8.44485797183,0.897966983654,0.011521944598,0.102057319163
0.78,283.15,8.44485797183,0.897966983654,0.0124716518908,0.107955602013
0.79,283.15,8.44485797183,0.897966983654,0.0134872503151,0.1141412195
0.8,283.15,8.44485797183,0.897966983654,0.0145725793011,0.120625508181
0.81,283.15,8.44485797183,0.897966983654,0.0157316701995,0.127420111247
0.8200000000000001,283.15,8.44485797183,0.897966983654,0.0169687540535,0.134536968764
0.8300000000000001,283.15,8.44485797183,0.897966983654,0.0182882836029,0.141988298855
0.8400000000000001,283.15,8.44485797183,0.897966983654,0.0196949293447,0.149786623738
0.85,283.15,8.44485797183,0.897966983654,0.0211936049038,0.157944717715
0.86,283.15,8.44485797183,0.897966983654,0.0227894715084,0.166475650411
0.87,283.15,8.44485797183,0.897966983654,0.0244879491862,0.175392747661
0.88,283.15,8.44485797183,0.897966983654,0.0262947336311,0.184709584398
0.89,283.15,8.44485797183,0.897966983654,0.0282158005595,0.194439977032
0.9,283.15,8.44485797183,0.897966983654,0.0302574386135,0.204597992558
0.91,283.15,8.44485797183,0.897966983654,0.0324262454255,0.215197909002
0.92,283.15,8.44485797183,0.897966983654,0.0347291529087,0.226254194342
0.93,283.15,8.44485797183,0.897966983654,0.0371734326031,0.237781528249
0.9400000000000001,283.15,8.44485797183,0.897966983654,0.0397667335485,0.249794753045
0.9500000000000001,283.15,8.44485797183,0.897966983654,0.0425170726299,0.262308869307
0.9600000000000001,283.15,8.44485797183,0.897966983654,0.0454328736254,0.275339030584
0.97,283.15,8.44485797183,0.897966983654,0.048522969118,0.28890047534
0.98,283.15,8.44485797183,0.897966983654,0.0517966156187,0.303008571778
0.99,283.15,8.44485797183,0.897966983654,0.0552635610702,0.317678733185
1.0,283.15,8.44485797183,0.897966983654,0.0589339736824,0.332926486192
1.01,283.15,8.44485797183,0.897966983654,0.0628185573205,0.34876731588
1.02,283.15,8.44485797183,0.897966983654,0.0669284896926,0.365216773748
1.03,283.15,8.44485797183,0.897966983654,0.0712755053846,0.382290343039
1.04,283.15,8.44485797183,0.897966983654,0.0758718766124,0.400003516516
1.05,283.15,8.44485797183,0.897966983654,0.0807304362642,0.418371719428
1.06,283.15,8.44485797183,0.897966983654,0.0858646484976,0.437410266685
1.07,283.15,8.44485797183,0.897966983654,0.0912885236341,0.457134365766
1.08,283.15,8.44485797183,0.897966983654,0.0970167400356,0.477559131626
1.09,283.15,8.44485797183,0.897966983654,0.103064635869,0.498699506134
1.1,283.15,8.44485797183,0.897966983654,0.109448155267,0.52057028106
1.11,283.15,8.44485797183,0.897966983654,0.116183962295,0.543186039266
1.12,283.15,8.44485797183,0.897966983654,0.123289449991,0.566561147239
1.1300000000000001,283.15,8.44485797183,0.897966983654,0.13078264656,0.590709849629
1.1400000000000001,283.15,8.44485797183,0.897966983654,0.138682359355,0.615646028763
1.1500000000000001,283.15,8.44485797183,0.897966983654,0.147008149836,0.64138343325
