diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2]
0.01,273.15,3.18928146809,0.703250358868,2.08015492544e-12,5.59610993802e-07
0.02,273.15,3.18928146809,0.703250358868,1.33136892664e-10,4.48049193264e-06
0.03,273.15,3.18928146809,0.703250358868,1.51664234612e-09,1.51421939237e-05
0.04,273.15,3.18928146809,0.703250358868,8.52249635074e-09,3.59616539046e-05
0.05,273.15,3.18928146809,0.703250358868,3.2515588794e-08,7.04133249385e-05
0.060000000000000005,273.15,3.18928146809,0.703250358868,9.71084232218e-08,0.000122050403604
0.06999999999999999,273.15,3.18928146809,0.703250358868,2.44922101459e-07,0.000194527249999
0.08,273.15,3.18928146809,0.703250358868,5.45861105402e-07,0.000291623045338
0.09,273.15,3.18928146809,0.703250358868,1.10690825858e-06,0.000417266742915
0.09999999999999999,273.15,3.18928146809,0.703250358868,2.08344585271e-06,0.000575563505209
0.11,273.15,3.18928146809,0.703250358868,3.69211355023e-06,0.00077082255112
0.12,273.15,3.18928146809,0.703250358868,6.22520547737e-06,0.00100758678014
0.13,273.15,3.18928146809,0.703250358868,1.00666255365e-05,0.00129066365814
0.14,273.15,3.18928146809,0.703250358868,1.57093961234e-05,0.0016251587723
0.15000000000000002,273.15,3.18928146809,0.703250358868,2.37747433885e-05,0.00201650964325
0.16,273.15,3.18928146809,0.703250358868,3.50327585965e-05,0.00247052396391
0.17,273.15,3.18928146809,0.703250358868,5.04246589644e-05,0.00299341700919
0.18000000000000002,273.15,3.18928146809,0.703250358868,7.10866205634e-05,0.0035918540193
0.19,273.15,3.18928146809,0.703250358868,9.83752503147e-05,0.00427299304429
0.2,273.15,3.18928146809,0.703250358868,0.000133894654144,0.00504453031963
0.21000000000000002,273.15,3.18928146809,0.703250358868,0.000179525094482,0.00591474959203
0.22,273.15,3.18928146809,0.703250358868,0.00023745339442,0.00689257279365
0.23,273.15,3.18928146809,0.703250358868,0.000310204716496,0.00798761133949
0.24000000000000002,273.15,3.18928146809,0.703250358868,0.000400676226944,0.00921022707557
0.25,273.15,3.18928146809,0.703250358868,0.000512172348874,0.010571585352
0.26,273.15,3.18928146809,0.703250358868,0.000648441327477,0.0120837239215
0.27,273.15,3.18928146809,0.703250358868,0.00081371366282,0.0137596105149
0.28,273.15,3.18928146809,0.703250358868,0.00101274231761,0.01561321563
0.29000000000000004,273.15,3.18928146809,0.703250358868,0.00125084366859,0.0176595790509
0.3,273.15,3.18928146809,0.703250358868,0.00153394094417,0.0199148886357
0.31,273.15,3.18928146809,0.703250358868,0.00186860824291,0.0223965487068
0.32,273.15,3.18928146809,0.703250358868,0.00226211720826,0.0251232620736
0.33,273.15,3.18928146809,0.703250358868,0.00272248191462,0.0281151101677
0.34,273.15,3.18928146809,0.703250358868,0.00325851097946,0.0313936366319
0.35000000000000003,273.15,3.18928146809,0.703250358868,0.00387985200598,0.0349819244139
0.36000000000000004,273.15,3.18928146809,0.703250358868,0.00459704670071,0.0389046857777
0.37,273.15,3.18928146809,0.703250358868,0.00542157916138,0.0431883466333
0.38,273.15,3.18928146809,0.703250358868,0.00636592760665,0.0478611246082
0.39,273.15,3.18928146809,0.703250358868,0.00744361920538,0.0529531197423
0.4,273.15,3.18928146809,0.703250358868,0.00866927766287,0.0584963840446
0.41000000000000003,273.15,3.18928146809,0.703250358868,0.0100586786156,0.0645250082192
0.42000000000000004,273.15,3.18928146809,0.703250358868,0.0116288039926,0.0710751801118
0.43,273.15,3.18928146809,0.703250358868,0.013397882116,0.0781852650219
0.44,273.15,3.18928146809,0.703250358868,0.0153854480922,0.0858958455151
0.45,273.15,3.18928146809,0.703250358868,0.0176123865611,0.0942497679888
0.46,273.15,3.18928146809,0.703250358868,0.0201009709459,0.103292180648
0.47000000000000003,273.15,3.18928146809,0.703250358868,0.0228749133963,0.113070536605
0.48000000000000004,273.15,3.18928146809,0.703250358868,0.0259593909485,0.123634601895
0.49,273.15,3.18928146809,0.703250358868,0.0293810825269,0.135036406799
0.5,273.15,3.18928146809,0.703250358868,0.033168204986,0.147330245441
0.51,273.15,3.18928146809,0.703250358868,0.037350489995,0.16057250874
0.52,273.15,3.18928146809,0.703250358868,0.0419592395225,0.174821647646
0.53,273.15,3.18928146809,0.703250358868,0.0470272935015,0.190137995672
0.54,273.15,3.18928146809,0.703250358868,0.0525890159858,0.206583559549
0.55,273.15,3.18928146809,0.703250358868,0.05868026424,0.224221825646
0.56,273.15,3.18928146809,0.703250358868,0.0653383243876,0.243117399191
0.5700000000000001,273.15,3.18928146809,0.703250358868,0.0726018553767,0.263335750663
0.5800000000000001,273.15,3.18928146809,0.703250358868,0.0805107732008,0.284942796418
0.59,273.15,3.18928146809,0.703250358868,0.0891061584749,0.308004437647
0.6,273.15,3.18928146809,0.703250358868,0.0984300241266,0.332586065972
0.61,273.15,3.18928146809,0.703250358868,0.108525198443,0.358751993352
0.62,273.15,3.18928146809,0.703250358868,0.119435067432,0.386564864447
0.63,273.15,3.18928146809,0.703250358868,0.131203212345,0.416084963313
0.64,273.15,3.18928146809,0.703250358868,0.143873215682,0.447369425832
0.65,273.15,3.18928146809,0.703250358868,0.157488182566,0.480471613442
0.66,273.15,3.18928146809,0.703250358868,0.172090309897,0.515440158269
0.67,273.15,3.18928146809,0.703250358868,0.1877204089,0.552318311204
0.68,273.15,3.18928146809,0.703250358868,0.204417300047,0.59114284386
0.6900000000000001,273.15,3.18928146809,0.703250358868,0.22221724865,0.63194352345
0.7000000000000001,273.15,3.18928146809,0.703250358868,0.242323333868,0.676008999376
0.7100000000000001,273.15,3.18928146809,0.703250358868,0.262670223835,0.721051385018
0.72,273.15,3.18928146809,0.703250358868,0.284228683589,0.768121840433
0.73,273.15,3.18928146809,0.703250358868,0.307017618891,0.817213145152
0.74,273.15,3.18928146809,0.703250358868,0.331049375651,0.86830717061
0.75,273.15,3.18928146809,0.703250358868,0.356328736352,0.921374395906
0.76,273.15,3.18928146809,0.703250358868,0.382852285348,0.976373378508
0.77,273.15,3.18928146809,0.703250358868,0.410607543391,1.03325091429
0.78,273.15,3.18928146809,0.703250358868,0.439572032999,1.09194150055
0.79,273.15,3.18928146809,0.703250358868,0.46971307213,1.15236798388
0.8,273.15,3.18928146809,0.703250358868,0.500986776597,1.21444136665
0.81,273.15,3.18928146809,0.703250358868,0.533338020274,1.27806163555
0.8200000000000001,273.15,3.18928146809,0.703250358868,0.566700080078,1.34311835007
0.8300000000000001,273.15,3.18928146809,0.703250358868,0.60099442986,1.40949122394
0.8400000000000001,273.15,3.18928146809,0.703250358868,0.636131367071,1.47705154894
0.85,273.15,3.18928146809,0.703250358868,0.672010039603,1.545663037
0.86,273.15,3.18928146809,0.703250358868,0.708518767542,1.61518315676
0.87,273.15,3.18928146809,0.703250358868,0.745536783767,1.68546475854
0.88,273.15,3.18928146809,0.703250358868,0.78293408762,1.75635722978
0.89,273.15,3.18928146809,0.703250358868,0.820573737297,1.82770830564
0.9,273.15,3.18928146809,0.703250358868,0.858312065791,1.89936544489
0.91,273.15,3.18928146809,0.703250358868,0.89600111846,1.97117788669
0.92,273.15,3.18928146809,0.703250358868,0.933489894049,2.04299756107
0.93,273.15,3.18928146809,0.703250358868,0.970625576541,2.11468106243
0.9400000000000001,273.15,3.18928146809,0.703250358868,1.00725563528,2.1860910295
0.9500000000000001,273.15,3.18928146809,0.703250358868,1.04322915832,2.25709724582
0.9600000000000001,273.15,3.18928146809,0.703250358868,1.0783984323,2.32757812067
0.97,273.15,3.18928146809,0.703250358868,1.11262059856,2.39742170221
0.98,273.15,3.18928146809,0.703250358868,1.1457585334,2.46652605141
0.99,273.15,3.18928146809,0.703250358868,1.17768205509,2.53480088227
1.0,273.15,3.18928146809,0.703250358868,1.20826918817,2.60216761667
1.01,273.15,3.18928146809,0.703250358868,1.23740679015,2.66855916356
1.02,273.15,3.18928146809,0.703250358868,1.26499089062,2.73392143345
1.03,273.15,3.18928146809,0.703250358868,1.29092729124,2.79821213058
1.04,273.15,3.18928146809,0.703250358868,1.31513189838,2.86140117879
1.05,273.15,3.18928146809,0.703250358868,1.33753050964,2.92347069485
1.06,273.15,3.18928146809,0.703250358868,1.35805860273,2.98441381407
