diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2]
0.01,283.15,12.4395210788,0.915339153032,1.16980888843e-14,4.70295249332e-08
0.02,283.15,12.4395210788,0.915339153032,7.48668162087e-13,3.76376495488e-07
0.03,283.15,12.4395210788,0.915339153032,8.52761653279e-12,1.27106143347e-06
0.04,283.15,12.4395210788,0.915339153032,4.79123185924e-11,3.01551640464e-06
0.05,283.15,12.4395210788,0.915339153032,1.82763999392e-10,5.8963008035e-06
0.060000000000000005,283.15,12.4395210788,0.915339153032,5.45704860173e-10,1.02028253212e-05
0.06999999999999999,283.15,12.4395210788,0.915339153032,1.37598788699e-09,1.62280811421e-05
0.08,283.15,12.4395210788,0.915339153032,3.06576323255e-09,2.42693851279e-05
0.09,283.15,12.4395210788,0.915339153032,6.21473306716e-09,3.4629127057e-05
0.09999999999999999,283.15,12.4395210788,0.915339153032,1.16931775559e-08,4.76155388859e-05
0.11,283.15,12.4395210788,0.915339153032,2.0713339467e-08,6.35434604032e-05
0.12,283.15,12.4395210788,0.915339153032,3.49091529962e-08,8.27351220647e-05
0.13,283.15,12.4395210788,0.915339153032,5.64243161764e-08,0.00010552097085
0.14,283.15,12.4395210788,0.915339153032,8.8008600745e-08,0.000132240446254
0.15000000000000002,283.15,12.4395210788,0.915339153032,1.33122580776e-07,0.000163242831785
0.16,283.15,12.4395210788,0.915339153032,1.9605042533e-07,0.000198888085576
0.17,283.15,12.4395210788,0.915339153032,2.82021115654e-07,0.000239547721701
0.18000000000000002,283.15,12.4395210788,0.915339153032,3.97337871442e-07,0.00028560567484
0.19,283.15,12.4395210788,0.915339153032,5.49515535749e-07,0.000337459187517
0.2,283.15,12.4395210788,0.915339153032,7.47426439124e-07,0.000395519702194
0.21000000000000002,283.15,12.4395210788,0.915339153032,1.00145391715e-06,0.000460213924697
0.22,283.15,12.4395210788,0.915339153032,1.32365500128e-06,0.000531984514017
0.23,283.15,12.4395210788,0.915339153032,1.72792944222e-06,0.000611291374937
0.24000000000000002,283.15,12.4395210788,0.915339153032,2.23019857997e-06,0.000698612481568
0.25,283.15,12.4395210788,0.915339153032,2.84859102598e-06,0.000794444818588
0.26,283.15,12.4395210788,0.915339153032,3.60363706282e-06,0.00089930558741
0.27,283.15,12.4395210788,0.915339153032,4.51847031354e-06,0.00101373331793
0.28,283.15,12.4395210788,0.915339153032,5.61903810199e-06,0.00113828862153
0.29000000000000004,283.15,12.4395210788,0.915339153032,6.93432006291e-06,0.00127355578845
0.3,283.15,12.4395210788,0.915339153032,8.49655231584e-06,0.00142014352861
0.31,283.15,12.4395210788,0.915339153032,1.03414603921e-05,0.00157868654848
0.32,283.15,12.4395210788,0.915339153032,1.25085072017e-05,0.00174984634703
0.33,283.15,12.4395210788,0.915339153032,1.50411328125e-05,0.00193431258339
0.34,283.15,12.4395210788,0.915339153032,1.79870216293e-05,0.00213280456188
0.35000000000000003,283.15,12.4395210788,0.915339153032,2.13983582984e-05,0.00234607228102
0.36000000000000004,283.15,12.4395210788,0.915339153032,2.53321071732e-05,0.0025748978187
0.37,283.15,12.4395210788,0.915339153032,2.98502872228e-05,0.00282009693622
0.38,283.15,12.4395210788,0.915339153032,3.5020280147e-05,0.00308252019505
0.39,283.15,12.4395210788,0.915339153032,4.09150861516e-05,0.00336305394013
0.4,283.15,12.4395210788,0.915339153032,4.76136716737e-05,0.0036626232316
0.41000000000000003,283.15,12.4395210788,0.915339153032,5.52012573507e-05,0.00398219195552
0.42000000000000004,283.15,12.4395210788,0.915339153032,6.37696544164e-05,0.00432276458093
0.43,283.15,12.4395210788,0.915339153032,7.34175648216e-05,0.00468538828598
0.44,283.15,12.4395210788,0.915339153032,8.42509655851e-05,0.00507115461555
0.45,283.15,12.4395210788,0.915339153032,9.63834036863e-05,0.0054812005005
0.46,283.15,12.4395210788,0.915339153032,0.000109936365299,0.00591670994843
0.47000000000000003,283.15,12.4395210788,0.915339153032,0.000125039649108,0.00637891647608
0.48000000000000004,283.15,12.4395210788,0.915339153032,0.000141831752718,0.00686910520328
0.49,283.15,12.4395210788,0.915339153032,0.000160460225785,0.00738861273318
0.5,283.15,12.4395210788,0.915339153032,0.000181082006409,0.00793883119665
0.51,283.15,12.4395210788,0.915339153032,0.00020386393862,0.00852120961183
0.52,283.15,12.4395210788,0.915339153032,0.000228983086475,0.00913725416468
0.53,283.15,12.4395210788,0.915339153032,0.00025662714271,0.00978853293196
0.54,283.15,12.4395210788,0.915339153032,0.0002869950053,0.0104766768329
0.55,283.15,12.4395210788,0.915339153032,0.000320296942198,0.0112033797861
0.56,283.15,12.4395210788,0.915339153032,0.000356755312087,0.0119704038287
0.5700000000000001,283.15,12.4395210788,0.915339153032,0.00039660481213,0.0127795791359
0.5800000000000001,283.15,12.4395210788,0.915339153032,0.000440093072908,0.0136328096846
0.59,283.15,12.4395210788,0.915339153032,0.000487481202538,0.0145320684315
0.6,283.15,12.4395210788,0.915339153032,0.000539043960212,0.0154794088966
0.61,283.15,12.4395210788,0.915339153032,0.000595070562485,0.0164769598029
0.62,283.15,12.4395210788,0.915339153032,0.000655865344928,0.0175269307405
0.63,283.15,12.4395210788,0.915339153032,0.000721747698378,0.0186316151502
0.64,283.15,12.4395210788,0.915339153032,0.000793053336778,0.0197933925002
0.65,283.15,12.4395210788,0.915339153032,0.000870134083112,0.0210147282972
0.66,283.15,12.4395210788,0.915339153032,0.000953359258867,0.0222981805746
0.67,283.15,12.4395210788,0.915339153032,0.00104311587406,0.0236463993697
0.68,283.15,12.4395210788,0.915339153032,0.00113980892708,0.0250621321376
0.6900000000000001,283.15,12.4395210788,0.915339153032,0.00124386263232,0.0265482221561
0.7000000000000001,283.15,12.4395210788,0.915339153032,0.0013602176008,0.0281482548875
0.7100000000000001,283.15,12.4395210788,0.915339153032,0.00148131042225,0.02979029087
0.72,283.15,12.4395210788,0.915339153032,0.00161125741632,0.0315119601936
0.73,283.15,12.4395210788,0.915339153032,0.00175057123998,0.03331651317
0.74,283.15,12.4395210788,0.915339153032,0.00189978666889,0.0352073113178
0.75,283.15,12.4395210788,0.915339153032,0.00205946240988,0.037187833944
0.76,283.15,12.4395210788,0.915339153032,0.0022301809061,0.039261678196
0.77,283.15,12.4395210788,0.915339153032,0.00241254985979,0.0414325617589
0.78,283.15,12.4395210788,0.915339153032,0.00260720190872,0.0437043185137
0.79,283.15,12.4395210788,0.915339153032,0.00281479752264,0.0460809200482
0.8,283.15,12.4395210788,0.915339153032,0.00303602392081,0.0485664585081
0.81,283.15,12.4395210788,0.915339153032,0.00327159818162,0.0511651566408
0.8200000000000001,283.15,12.4395210788,0.915339153032,0.00352226542987,0.0538813789984
