R,Hprime,D
0.2,185.054,-701836.743
0.3,180.572,-353582.495
0.4,173.682,-193087.143
0.5,165.845,-103890.803
0.6,157.923,-50559.196
0.8,143.376,4401.916
0.9,137.037,18357.556
1,131.357,27333.297
1.1,126.312,32933.774
1.2,121.865,36199.091
1.3,117.973,37825.817
1.35,116.221,38180.615
1.4,114.591,38292.984
1.45,113.08,38201.102
1.5,111.681,37937.296
1.6,109.206,36999.765
1.7,107.134,35655.561
1.8,105.434,34033.645
2,103.055,30316.671
2.2,101.891,26365.944
2.4,101.782,22479.155
2.6,102.566,18828.992
2.8,104.055,15513.168
3,106.031,12581.654
3.2,108.253,10051.856
3.4,110.487,7917.627
3.6,112.537,6155.446
3.8,114.28,4729.627
4,115.672,3597.239
4.2,116.728,2712.693
4.4,117.502,2031.566
4.6,118.057,1513.322
4.8,118.452,1122.829
5,118.734,830.853
5.2,118.937,613.828
5.4,119.084,453.225
5.6,119.192,334.752
5.8,119.272,247.54
6,119.331,183.415
6.2,119.376,136.285
6.4,119.41,101.634
6.6,119.436,76.131
6.8,119.456,57.33
7,119.471,43.436
7.2,119.483,33.139
7.4,119.492,25.478
7.6,119.499,19.753
7.8,119.505,15.453
8,119.509,12.203
8.5,119.516,7.06
9,119.521,4.341
9.5,119.524,2.821
10,119.525,1.921
11,119.527,0.989
12,119.528,0.559
