wavelength / m, absorption coefficient / m^{-1}
2.00e-7, 3.78288
2.05e-7, 3.85499
2.17e-7, 3.83835
2.27e-7, 3.71077
2.32e-7, 3.58874
2.35e-7, 3.23375
2.36e-7, 2.47385
2.40e-7, 1.68066
2.43e-7, 0.99841
2.47e-7, 0.64896
2.51e-7, 0.46038
2.56e-7, 0.38827
2.62e-7, 0.33280
2.72e-7, 0.30507
2.78e-7, 0.26069
2.85e-7, 0.17194
2.90e-7, 0.13312
3.00e-7, 0.11093
3.18e-7, 0.09984
3.99e-7, 0.07210
5.60e-7, 0.07210
7.99e-7, 0.06101
1.20e-6, 0.05000
