wavelength / m, refraction index / 1
2.000e-07, 1.627
2.667e-07, 1.551
3.333e-07, 1.522
4.000e-07, 1.507
4.667e-07, 1.499
5.333e-07, 1.494
6.000e-07, 1.490
6.667e-07, 1.488
7.333e-07, 1.486
8.000e-07, 1.484
8.667e-07, 1.483
9.333e-07, 1.482
1.000e-06, 1.482
1.067e-06, 1.481
1.133e-06, 1.481
1.200e-06, 1.480
