wavelength / m, absorption coefficient / m^{-1}
1.0102e-07, 6.3052e+07
1.1403e-07, 4.3597e+07
1.2872e-07, 2.9233e+07
1.3403e-07, 1.1984e+07
1.5283e-07, 2.1495e+07
1.6569e-07, 9.9658e+06
1.8330e-07, 1.9870e+02
2.0278e-07, 6.1562e+00
2.1984e-07, 6.5243e-01
2.9464e-07, 1.8495e-01
3.9490e-07, 5.2430e-02
4.7363e-07, 1.7874e-02
5.6234e-07, 8.3153e-02
6.1585e-07, 2.6748e-01
6.6767e-07, 3.3171e-01
7.2385e-07, 2.4475e+00
8.0077e-07, 2.0351e+00
9.1312e-07, 7.4034e+00
9.6041e-07, 4.5422e+01
1.0733e-06, 1.5968e+01
1.1754e-06, 1.1425e+02
1.3403e-06, 1.5067e+02
1.4384e-06, 2.9736e+03
1.6403e-06, 5.8287e+02
1.8330e-06, 9.8306e+02
1.9085e-06, 1.2233e+04
2.1984e-06, 2.0561e+03
2.4567e-06, 8.4586e+03
2.6102e-06, 1.1862e+04
2.7732e-06, 6.2623e+05
2.9764e-06, 1.1231e+06
