wavelength / m, refraction coefficient / 1
0.200e-6, 1.396
0.225e-6, 1.373
0.250e-6, 1.362
0.275e-6, 1.354
0.300e-6, 1.349
0.325e-6, 1.346
0.350e-6, 1.343
0.375e-6, 1.341
0.400e-6, 1.339
0.425e-6, 1.338
0.450e-6, 1.337
0.475e-6, 1.336
0.500e-6, 1.335
0.525e-6, 1.334
0.550e-6, 1.333
0.575e-6, 1.333
0.600e-6, 1.332
0.625e-6, 1.332
0.650e-6, 1.331
0.675e-6, 1.331
0.700e-6, 1.331
0.725e-6, 1.330
0.750e-6, 1.330
0.775e-6, 1.330
0.800e-6, 1.329
0.825e-6, 1.329
0.850e-6, 1.329
0.875e-6, 1.328
0.900e-6, 1.328
0.925e-6, 1.328
0.950e-6, 1.327
0.975e-6, 1.327
1.0e-6, 1.327
1.2e-6, 1.324
