"EC_NO","COFACTOR_ID","SOURCE"
"1.1.1.1",4,cofactor_db_2010
"1.1.1.10",4,cofactor_db_2010
"1.1.1.100",4,cofactor_db_2010
"1.1.1.100",5,cofactor_db_2010
"1.1.1.101",4,cofactor_db_2010
"1.1.1.102",4,cofactor_db_2010
"1.1.1.103",4,cofactor_db_2010
"1.1.1.104",4,cofactor_db_2010
"1.1.1.105",4,cofactor_db_2010
"1.1.1.106",4,cofactor_db_2010
"1.1.1.107",4,cofactor_db_2010
"1.1.1.108",4,cofactor_db_2010
"1.1.1.11",4,cofactor_db_2010
"1.1.1.110",4,cofactor_db_2010
"1.1.1.111",4,cofactor_db_2010
"1.1.1.112",4,cofactor_db_2010
"1.1.1.113",4,cofactor_db_2010
"1.1.1.114",4,cofactor_db_2010
"1.1.1.115",4,cofactor_db_2010
"1.1.1.116",4,cofactor_db_2010
"1.1.1.117",4,cofactor_db_2010
"1.1.1.118",4,cofactor_db_2010
"1.1.1.119",4,cofactor_db_2010
"1.1.1.12",4,cofactor_db_2010
"1.1.1.120",4,cofactor_db_2010
"1.1.1.121",4,cofactor_db_2010
"1.1.1.122",4,cofactor_db_2010
"1.1.1.123",4,cofactor_db_2010
"1.1.1.124",4,cofactor_db_2010
"1.1.1.125",4,cofactor_db_2010
"1.1.1.126",4,cofactor_db_2010
"1.1.1.127",4,cofactor_db_2010
"1.1.1.128",4,cofactor_db_2010
"1.1.1.129",4,cofactor_db_2010
"1.1.1.13",4,cofactor_db_2010
"1.1.1.130",4,cofactor_db_2010
"1.1.1.131",4,cofactor_db_2010
"1.1.1.132",4,cofactor_db_2010
"1.1.1.133",4,cofactor_db_2010
"1.1.1.134",4,cofactor_db_2010
"1.1.1.135",4,cofactor_db_2010
"1.1.1.136",4,cofactor_db_2010
"1.1.1.137",4,cofactor_db_2010
"1.1.1.138",4,cofactor_db_2010
"1.1.1.14",4,cofactor_db_2010
"1.1.1.140",4,cofactor_db_2010
"1.1.1.141",4,cofactor_db_2010
"1.1.1.142",4,cofactor_db_2010
"1.1.1.143",4,cofactor_db_2010
"1.1.1.144",4,cofactor_db_2010
"1.1.1.145",4,cofactor_db_2010
"1.1.1.146",4,cofactor_db_2010
"1.1.1.147",4,cofactor_db_2010
"1.1.1.148",4,cofactor_db_2010
"1.1.1.149",4,cofactor_db_2010
"1.1.1.15",4,cofactor_db_2010
"1.1.1.150",4,cofactor_db_2010
"1.1.1.151",4,cofactor_db_2010
"1.1.1.152",4,cofactor_db_2010
"1.1.1.153",4,cofactor_db_2010
"1.1.1.154",4,cofactor_db_2010
"1.1.1.156",4,cofactor_db_2010
"1.1.1.157",4,cofactor_db_2010
"1.1.1.158",2,cofactor_db_2010
"1.1.1.158",4,cofactor_db_2010
"1.1.1.159",4,cofactor_db_2010
"1.1.1.16",4,cofactor_db_2010
"1.1.1.160",4,cofactor_db_2010
"1.1.1.161",4,cofactor_db_2010
"1.1.1.162",4,cofactor_db_2010
"1.1.1.163",4,cofactor_db_2010
"1.1.1.164",4,cofactor_db_2010
"1.1.1.165",4,cofactor_db_2010
"1.1.1.166",4,cofactor_db_2010
"1.1.1.167",4,cofactor_db_2010
"1.1.1.168",4,cofactor_db_2010
"1.1.1.169",4,cofactor_db_2010
"1.1.1.17",4,cofactor_db_2010
"1.1.1.170",4,cofactor_db_2010
"1.1.1.172",4,cofactor_db_2010
"1.1.1.173",4,cofactor_db_2010
"1.1.1.174",4,cofactor_db_2010
"1.1.1.175",4,cofactor_db_2010
"1.1.1.176",4,cofactor_db_2010
"1.1.1.177",4,cofactor_db_2010
"1.1.1.178",4,cofactor_db_2010
"1.1.1.179",4,cofactor_db_2010
"1.1.1.18",4,cofactor_db_2010
"1.1.1.181",4,cofactor_db_2010
"1.1.1.183",4,cofactor_db_2010
"1.1.1.184",4,cofactor_db_2010
"1.1.1.185",4,cofactor_db_2010
"1.1.1.186",4,cofactor_db_2010
"1.1.1.187",4,cofactor_db_2010
"1.1.1.188",4,cofactor_db_2010
"1.1.1.189",4,cofactor_db_2010
"1.1.1.19",4,cofactor_db_2010
"1.1.1.190",4,cofactor_db_2010
"1.1.1.191",4,cofactor_db_2010
"1.1.1.192",4,cofactor_db_2010
"1.1.1.193",4,cofactor_db_2010
"1.1.1.194",4,cofactor_db_2010
"1.1.1.195",4,cofactor_db_2010
"1.1.1.196",4,cofactor_db_2010
"1.1.1.197",4,cofactor_db_2010
"1.1.1.198",4,cofactor_db_2010
"1.1.1.199",4,cofactor_db_2010
"1.1.1.2",4,brenda
"1.1.1.20",4,cofactor_db_2010
"1.1.1.200",4,cofactor_db_2010
"1.1.1.201",4,cofactor_db_2010
"1.1.1.202",4,cofactor_db_2010
"1.1.1.203",4,cofactor_db_2010
"1.1.1.205",4,cofactor_db_2010
"1.1.1.206",4,cofactor_db_2010
"1.1.1.207",4,cofactor_db_2010
"1.1.1.208",4,cofactor_db_2010
"1.1.1.209",4,cofactor_db_2010
"1.1.1.21",4,cofactor_db_2010
"1.1.1.210",4,cofactor_db_2010
"1.1.1.211",4,cofactor_db_2010
"1.1.1.212",4,cofactor_db_2010
"1.1.1.213",4,cofactor_db_2010
"1.1.1.214",4,cofactor_db_2010
"1.1.1.215",2,brenda
"1.1.1.215",4,cofactor_db_2010
"1.1.1.215",22,brenda
"1.1.1.216",4,cofactor_db_2010
"1.1.1.217",4,cofactor_db_2010
"1.1.1.218",4,cofactor_db_2010
"1.1.1.219",4,cofactor_db_2010
"1.1.1.22",4,cofactor_db_2010
"1.1.1.220",4,cofactor_db_2010
"1.1.1.221",4,cofactor_db_2010
"1.1.1.222",4,cofactor_db_2010
"1.1.1.223",4,cofactor_db_2010
"1.1.1.224",4,cofactor_db_2010
"1.1.1.225",4,cofactor_db_2010
"1.1.1.226",4,cofactor_db_2010
"1.1.1.227",4,cofactor_db_2010
"1.1.1.228",4,cofactor_db_2010
"1.1.1.229",4,cofactor_db_2010
"1.1.1.23",4,cofactor_db_2010
"1.1.1.230",4,cofactor_db_2010
"1.1.1.231",4,cofactor_db_2010
"1.1.1.232",4,cofactor_db_2010
"1.1.1.233",4,cofactor_db_2010
"1.1.1.234",4,cofactor_db_2010
"1.1.1.235",4,cofactor_db_2010
"1.1.1.236",4,cofactor_db_2010
"1.1.1.237",4,cofactor_db_2010
"1.1.1.238",4,cofactor_db_2010
"1.1.1.239",4,cofactor_db_2010
"1.1.1.24",4,cofactor_db_2010
"1.1.1.240",4,cofactor_db_2010
"1.1.1.241",4,cofactor_db_2010
"1.1.1.243",4,cofactor_db_2010
"1.1.1.244",4,cofactor_db_2010
"1.1.1.245",4,cofactor_db_2010
"1.1.1.246",4,cofactor_db_2010
"1.1.1.247",4,cofactor_db_2010
"1.1.1.248",4,cofactor_db_2010
"1.1.1.25",4,cofactor_db_2010
"1.1.1.250",4,cofactor_db_2010
"1.1.1.251",4,cofactor_db_2010
"1.1.1.252",4,cofactor_db_2010
"1.1.1.254",4,cofactor_db_2010
"1.1.1.255",4,cofactor_db_2010
"1.1.1.256",4,cofactor_db_2010
"1.1.1.257",4,cofactor_db_2010
"1.1.1.258",4,cofactor_db_2010
"1.1.1.259",4,cofactor_db_2010
"1.1.1.259",11,brenda
"1.1.1.26",4,cofactor_db_2010
"1.1.1.260",4,cofactor_db_2010
"1.1.1.261",4,cofactor_db_2010
"1.1.1.262",4,cofactor_db_2010
"1.1.1.263",4,cofactor_db_2010
"1.1.1.264",4,cofactor_db_2010
"1.1.1.265",4,cofactor_db_2010
"1.1.1.266",4,cofactor_db_2010
"1.1.1.267",4,cofactor_db_2010
"1.1.1.268",4,cofactor_db_2010
"1.1.1.269",4,cofactor_db_2010
"1.1.1.27",3,brenda
"1.1.1.27",4,cofactor_db_2010
"1.1.1.270",4,cofactor_db_2010
"1.1.1.271",4,cofactor_db_2010
"1.1.1.272",4,cofactor_db_2010
"1.1.1.273",4,cofactor_db_2010
"1.1.1.274",4,cofactor_db_2010
"1.1.1.275",4,cofactor_db_2010
"1.1.1.276",4,cofactor_db_2010
"1.1.1.277",4,cofactor_db_2010
"1.1.1.278",4,cofactor_db_2010
"1.1.1.279",4,cofactor_db_2010
"1.1.1.28",2,brenda
"1.1.1.28",4,cofactor_db_2010
"1.1.1.28",22,brenda
"1.1.1.280",4,cofactor_db_2010
"1.1.1.281",4,cofactor_db_2010
"1.1.1.282",4,cofactor_db_2010
"1.1.1.283",4,cofactor_db_2010
"1.1.1.284",3,brenda
"1.1.1.284",4,cofactor_db_2010
"1.1.1.285",4,cofactor_db_2010
"1.1.1.286",4,cofactor_db_2010
"1.1.1.287",4,cofactor_db_2010
"1.1.1.288",4,cofactor_db_2010
"1.1.1.288",15,cofactor_db_2010
"1.1.1.289",2,brenda
"1.1.1.289",4,cofactor_db_2010
"1.1.1.29",4,cofactor_db_2010
"1.1.1.290",4,cofactor_db_2010
"1.1.1.291",4,cofactor_db_2010
"1.1.1.292",4,cofactor_db_2010
"1.1.1.294",4,cofactor_db_2010
"1.1.1.295",4,cofactor_db_2010
"1.1.1.296",4,cofactor_db_2010
"1.1.1.297",4,cofactor_db_2010
"1.1.1.298",4,cofactor_db_2010
"1.1.1.299",4,cofactor_db_2010
"1.1.1.3",4,brenda
"1.1.1.30",4,cofactor_db_2010
"1.1.1.300",4,cofactor_db_2010
