# Binance Spot Market Data v2.5.0
# Generated: 2025-09-17T20:51:33.630301Z
# Source: Binance Public Data Repository
# Market: SPOT | Symbol: BTCUSDT | Timeframe: 4h
# Coverage: 6 bars
# Period: 2024-01-01 00:00:00 to 2024-01-01 20:00:00
# Collection: direct_download in 0.0s
# Data Hash: 29d61b559160a08e...
# Compliance: Zero-Magic-Numbers, Temporal-Integrity, Official-Binance-Source
#
date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-01-01 00:00:00,42283.58,42775.0,42230.08,42330.49,3948.08335,2024-01-01 03:59:59,167818570.5692817,166013,2040.25881,86727075.8435333
2024-01-01 04:00:00,42330.5,42500.0,42180.77,42492.46,2706.9988,2024-01-01 07:59:59,114643199.9045516,128552,1385.79272,58687457.6152961
2024-01-01 08:00:00,42492.46,42762.39,42452.58,42690.2,2948.80274,2024-01-01 11:59:59,125745887.2679069,137484,1523.25695,64959471.6322154
2024-01-01 12:00:00,42690.21,42847.07,42580.0,42783.05,2936.44406,2024-01-01 15:59:59,125358722.1795002,148756,1496.35093,63877513.4315076
2024-01-01 16:00:00,42783.05,43550.0,42664.42,43517.99,5686.97164,2024-01-01 19:59:59,244970557.190949,242235,3016.44908,129952006.4310873
2024-01-01 20:00:00,43517.98,44184.1,43361.6,44179.55,8946.99844,2024-01-01 23:59:59,391458744.915812,291583,4869.62331,213148569.6068797
