time;DLRA.heatDemand.heat_flow;DLRA.heatDemand.temp_in;DLRA.heatDemand.temp_out;DLRA.coolDemand.heat_flow;DLRA.coolDemand.temp_in;DLRA.coolDemand.temp_out;HYDRAULIC.coolDemand.heat_flow;HYDRAULIC.coolDemand.temp_in;HYDRAULIC.coolDemand.temp_out;COMPRESSEDAIR.coolDemand.heat_flow;COMPRESSEDAIR.coolDemand.temp_in;COMPRESSEDAIR.coolDemand.temp_out;HALL.coolDemand.heat_flow;HALL.coolDemand.temp_in;HALL.coolDemand.temp_out;OFFICE.coolDemand.heat_flow;OFFICE.coolDemand.temp_in;OFFICE.coolDemand.temp_out
0;22,6271552;343,15;333,15;11,3135776;308,15;313,15;0;293,15;298,15;0,343615314;333,15;338,15;7,66009;288,15;293,15;4,804212835;288,15;293,15
900;22,89970396;343,15;333,15;11,44985198;308,15;313,15;0;293,15;298,15;0,157340973;333,15;338,15;5,90663;288,15;293,15;4,842564265;288,15;293,15
1800;22,83967705;343,15;333,15;11,41983852;308,15;313,15;0;293,15;298,15;0,12061226;333,15;338,15;4,1598;288,15;293,15;4,735376697;288,15;293,15
2700;22,33021221;343,15;333,15;11,16510611;308,15;313,15;0;293,15;298,15;0,019624332;333,15;338,15;3,48143;288,15;293,15;4,698709064;288,15;293,15
3600;21,58786594;343,15;333,15;10,79393297;308,15;313,15;0;293,15;298,15;0,036917264;333,15;338,15;3,84297;288,15;293,15;4,630931955;288,15;293,15
4500;18,55854346;343,15;333,15;9,27927173;308,15;313,15;0;293,15;298,15;0,364236838;333,15;338,15;3,94676;288,15;293,15;4,639337847;288,15;293,15
5400;17,71384936;343,15;333,15;8,856924682;308,15;313,15;0;293,15;298,15;0,032356242;333,15;338,15;4,09618;288,15;293,15;4,572991069;288,15;293,15
6300;17,95683022;343,15;333,15;8,978415108;308,15;313,15;0;293,15;298,15;0,082929545;333,15;338,15;4,19424;288,15;293,15;4,620506122;288,15;293,15
7200;11,66111428;343,15;333,15;5,830557138;308,15;313,15;0;293,15;298,15;0,048545807;333,15;338,15;4,13645;288,15;293,15;4,464866871;288,15;293,15
8100;15,47882493;343,15;333,15;7,739412467;308,15;313,15;0;293,15;298,15;0,047364719;333,15;338,15;3,79877;288,15;293,15;4,499301238;288,15;293,15
9000;17,41433877;343,15;333,15;8,707169384;308,15;313,15;0;293,15;298,15;0,033615957;333,15;338,15;3,68037;288,15;293,15;4,451599789;288,15;293,15
9900;17,28138169;343,15;333,15;8,640690846;308,15;313,15;0;293,15;298,15;0,259755312;333,15;338,15;3,48778;288,15;293,15;4,453482755;288,15;293,15
10800;10,92974086;343,15;333,15;5,464870432;308,15;313,15;0;293,15;298,15;0,139064425;333,15;338,15;3,43852;288,15;293,15;4,393239779;288,15;293,15
11700;17,04309455;343,15;333,15;8,521547275;308,15;313,15;0;293,15;298,15;0,027029122;333,15;338,15;3,07532;288,15;293,15;4,432299921;288,15;293,15
12600;18,11955214;343,15;333,15;9,059776068;308,15;313,15;0;293,15;298,15;0,043445;333,15;338,15;3,06333;288,15;293,15;4,309929917;288,15;293,15
13500;16,86561063;343,15;333,15;8,432805316;308,15;313,15;0;293,15;298,15;0,028751936;333,15;338,15;2,91076;288,15;293,15;4,351687638;288,15;293,15
14400;17,67473776;343,15;333,15;8,83736888;308,15;313,15;0;293,15;298,15;0,162749432;333,15;338,15;2,7428;288,15;293,15;4,276530255;288,15;293,15
15300;18,17672456;343,15;333,15;9,088362281;308,15;313,15;0;293,15;298,15;0,20234313;333,15;338,15;2,86747;288,15;293,15;4,321262312;288,15;293,15
16200;18,1442435;343,15;333,15;9,072121753;308,15;313,15;0;293,15;298,15;0,006567437;333,15;338,15;2,88047;288,15;293,15;4,271350882;288,15;293,15
17100;17,87577532;343,15;333,15;8,937887658;308,15;313,15;0;293,15;298,15;0,029778875;333,15;338,15;2,55732;288,15;293,15;4,251635981;288,15;293,15
18000;16,65061559;343,15;333,15;8,325307793;308,15;313,15;0;293,15;298,15;0,028646799;333,15;338,15;2,82995;288,15;293,15;4,236343787;288,15;293,15
18900;17,50065022;343,15;333,15;8,750325108;308,15;313,15;0;293,15;298,15;0,230243095;333,15;338,15;2,30604;288,15;293,15;4,135902797;288,15;293,15
19800;18,01178665;343,15;333,15;9,005893326;308,15;313,15;0;293,15;298,15;0,173444542;333,15;338,15;2,40508;288,15;293,15;4,117164122;288,15;293,15
20700;17,84054205;343,15;333,15;8,920271026;308,15;313,15;0;293,15;298,15;0,019192658;333,15;338,15;2,60662;288,15;293,15;4,177145852;288,15;293,15
21600;17,25839563;343,15;333,15;8,629197815;308,15;313,15;0;293,15;298,15;0,02212708;333,15;338,15;2,81043;288,15;293,15;4,137714614;288,15;293,15
22500;16,34912981;343,15;333,15;8,174564907;308,15;313,15;0;293,15;298,15;0,029368021;333,15;338,15;2,77975;288,15;293,15;4,103293202;288,15;293,15
