Amplitude,Filter,Onset,Phase,Picker,Polarity,Quality,Site,Source,Time,Type,event_index
"{'Amplitude': 2483.6442871094, 'SNR': 3.69}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 1.0}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'DGR', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:10.440000,Pick,1
"{'Amplitude': 317.5878601074, 'SNR': 6.202}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.862}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'BLA2', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:26.803000,Pick,1
"{'Amplitude': 1055.7459716797, 'SNR': 9.875}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.929}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'CYP', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:17.583000,Pick,1
"{'Amplitude': 1240.8824462891, 'SNR': 4.718}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.756}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'B093', 'Channel': 'EHZ', 'Network': 'PB', 'Location': ''}","{'AgencyID': 'PB', 'Author': 'hypoPN'}",2024-05-15T00:14:05.558000,Pick,1
"{'Amplitude': 7728.9204101562, 'SNR': 15.368}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 1.0}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'SDR', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:21.540000,Pick,-1
"{'Amplitude': 3334.9221191406, 'SNR': 12.003}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.649}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'HMT2', 'Channel': 'HHZ', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:07.628000,Pick,1
"{'Amplitude': 890.7935180664, 'SNR': 11.167}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.712}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'CTW', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:29.953000,Pick,-1
"{'Amplitude': 6236.583984375, 'SNR': 14.871}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.998}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'DPP', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:13.698000,Pick,-1
"{'Amplitude': 1921.1118164062, 'SNR': 6.205}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.999}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'SMER', 'Channel': 'HHE', 'Network': 'AZ', 'Location': ''}","{'AgencyID': 'AZ', 'Author': 'hypoPN'}",2024-05-15T00:14:10.108000,Pick,1
"{'Amplitude': 1306.9959716797, 'SNR': 5.534}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.997}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'FRD', 'Channel': 'HHE', 'Network': 'AZ', 'Location': ''}","{'AgencyID': 'AZ', 'Author': 'hypoPN'}",2024-05-15T00:14:09.468000,Pick,1
