# Data from McBride et al. (2002), NASA Glenn Coefficients for Calculating Thermodynamic Properties of Individual Species, No. 2002-211556 NASA
# https://ntrs.nasa.gov/citations/20020085330
# The Hill system is adopted and state refers to the JANAF convention for the state of aggregation
# Temperature ranges should be in ascending order
# Gases appear in the top section and condensed phases appear further down.
# Column names are as follows:
hill_formula state T_min T_max a1 a2 a3 a4 a5 a6 a7 b1 b2
# --- Gases ---
Ar g 200 1000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 -7.453750000e02 4.379674910e00
Ar g 1000 6000 2.010538475e01 -5.992661070e-02 2.500069401e00 -3.992141160e-08 1.205272140e-11 -1.819015576e-15 1.078576636e-19 -7.449939610e02 4.379180110e00
Ar g 6000 20000 -9.951265080e08 6.458887260e05 -1.675894697e02 2.319933363e-02 -1.721080911e-06 6.531938460e-11 -9.740147729e-16 -5.078300340e06 1.465298484e03
C g 200 1000 6.495031470e2 -9.649010860e-1 2.504675479 -1.281448025e-5 1.980133654e-8 -1.606144025e-11 5.314483411e-15 8.545763110e4 4.747924288
C g 1000 6000 -1.289136472e5 1.719528572e2 2.646044387 -3.353068950e-4 1.742092740e-7 -2.902817829e-11 1.642182385e-15 8.410597850e4 4.130047418
C g 6000 20000 4.432528010e8 -2.886018412e5 7.737108320e1 -9.715281890e-3 6.649595330e-7 -2.230078776e-11 2.899388702e-16 2.355273444e6 -6.405123160e2
C2H2 g 200 1000 1.598112089e05 -2.216644118e03 1.265707813e01 -7.979651080e-03 8.054992750e-06 -2.433307673e-09 -7.529233180e-14 3.712619060e04 -5.244338900e01
C2H2 g 1000 6000 1.713847410e06 -5.929106660e03 1.236127943e01 1.314186993e-04 -1.362764431e-07 2.712655786e-11 -1.302066204e-15 6.266578970e04 -5.818960590e01
CH4 g 200 1000 -1.766850998e5 2.786181020e3 -1.202577850e1 3.917619290e-2 -3.619054430e-5 2.026853043e-8 -4.976705490e-12 -2.331314360e4 8.904322750e1
CH4 g 1000 6000 3.730042760e6 -1.383501485e4 2.049107091e1 -1.961974759e-3 4.727313040e-7 -3.728814690e-11 1.623737207e-15 7.532066910e4 -1.219124889e2
CHN g 200 1000 9.098286930e04 -1.238657512e03 8.721307870e00 -6.528242940e-03 8.872700830e-06 -4.808886670e-09 9.317898500e-13 2.098915450e04 -2.746678076e01
CHN g 1000 6000 1.236889278e06 -4.446732410e03 9.738874850e00 -5.855182640e-04 1.072791440e-07 -1.013313244e-11 3.348247980e-16 4.221513770e04 -4.005774072e01
CO g 200 1000 1.489045326e4 -2.922285939e2 5.724527170 -8.176235030e-3 1.456903469e-5 -1.087746302e-8 3.027941827e-12 -1.303131878e4 -7.859241350
CO g 1000 6000 4.619197250e5 -1.944704863e3 5.916714180 -5.664282830e-4 1.398814540e-7 -1.787680361e-11 9.620935570e-16 -2.466261084e3 -1.387413108e1
CO g 6000 20000 8.868662960e8 -7.500377840e5 2.495474979e2 -3.956351100e-2 3.297772080e-6 -1.318409933e-10 1.998937948e-15 5.701421130e6 -2.060704786e3
CO2 g 200 1000 4.943650540e4 -6.264116010e2 5.301725240 2.503813816e-3 -2.127308728e-7 -7.689988780e-10 2.849677801e-13 -4.528198460e4 -7.048279440
CO2 g 1000 6000 1.176962419e5 -1.788791477e3 8.291523190 -9.223156780e-5 4.863676880e-9 -1.891053312e-12 6.330036590e-16 -3.908350590e4 -2.652669281e1
CO2 g 6000 20000 -1.544423287e9 1.016847056e6 -2.561405230e2 3.369401080e-2 -2.181184337e-6 6.991420840e-11 -8.842351500e-16 -8.043214510e6 2.254177493e3
COS g 200 1000 8.547876430e04 -1.319464821e03 9.735257240e00 -6.870830960e-03 1.082331416e-05 -7.705597340e-09 2.078570344e-12 -1.191657685e04 -2.991988593e01
COS g 1000 6000 1.959098567e05 -1.756167688e03 8.710430340e00 -4.139424960e-04 1.015243648e-07 -1.159609663e-11 5.691053860e-16 -8.927096690e03 -2.636328016e01
Cl2 g 200 1000 3.462815170e4 -5.547126520e2 6.207589370 -2.989632078e-3 3.173027290e-6 -1.793629562e-9 4.260043590e-13 1.534069331e3 -9.438331107
Cl2 g 1000 6000 6.092569420e6 -1.949627662e4 2.854535795e1 -1.449968764e-2 4.463890770e-6 -6.358525860e-10 3.327360290e-14 1.212117724e5 -1.690778824e2
ClH g 200 1000 2.062588287e4 -3.093368855e2 5.275418850 -4.828874220e-3 6.195794600e-6 -3.040023782e-9 4.916790030e-13 -1.067782299e4 -7.309305408
ClH g 1000 6000 9.157749510e5 -2.770550211e3 5.973539790 -3.629810060e-4 4.735529190e-8 2.810262054e-12 -6.656104220e-16 5.674958050e3 -1.642825822e1
Fe g 200 1000 6.790822660e04 -1.197218407e03 9.843393310e00 -1.652324828e-02 1.917939959e-05 -1.149825371e-08 2.832773807e-12 5.466995940e04 -3.383946260e01
Fe g 1000 6000 -1.954923682e06 6.737161100e03 -5.486410970e00 4.378803450e-03 -1.116286672e-06 1.544348856e-10 -8.023578182e-15 7.137370060e03 6.504979860e01
Fe g 6000 20000 1.216352511e09 -5.828563930e05 9.789634510e01 -5.370704430e-03 3.192037920e-08 6.267671430e-12 -1.480574914e-16 4.847648290e06 -8.697289770e02
FeO g 200 1000 1.569282213e04 -6.460188880e01 2.458925470e00 7.016047360e-03 -1.021405947e-05 7.179297870e-09 -1.978966365e-12 2.964572665e04 1.326115545e01
FeO g 1000 6000 -1.195971480e05 -3.624864780e02 5.518880750e00 -9.978856890e-04 4.376913830e-07 -6.790629460e-11 3.639292680e-15 3.037985806e04 -3.633655420e00
H2 g 200 1000 4.078323210e4 -8.009186040e2 8.214702010 -1.269714457e-2 1.753605076e-5 -1.202860270e-8 3.368093490e-12 2.682484665e3 -3.043788844e1
H2 g 1000 6000 5.608128010e5 -8.37150474e2 2.975364532 1.252249124e-3 -3.740716190e-7 5.936625200e-11 -3.606994100e-15 5.339824410e3 -2.202774769
H2 g 6000 20000 4.966884120e8 -3.147547149e5 7.984121880e1 -8.414789210e-3 4.753248350e-7 -1.371873492e-11 1.605461756e-16 2.488433516e6 -6.695728110e2
He g 200 1000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 -7.453750000e2 9.287239740e-1
He g 1000 6000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 -7.453750000e2 9.287239740e-1
He g 6000 20000 3.396845420e6 -2.194037652e3 3.080231878 -8.068957550e-5 6.252784910e-9 -2.574990067e-13 4.429960218e-18 1.650518960e4 -4.048814390
H3N g 200 1000 -7.681226150e4 1.270951578e3 -3.893229130 2.145988418e-2 -2.183766703e-5 1.317385706e-8 -3.332322060e-12 -1.264886413e4 4.366014588e1
H3N g 1000 6000 2.452389535e6 -8.040894240e3 1.271346201e1 -3.980186580e-4 3.552502750e-8 2.530923570e-12 -3.322700530e-16 4.386191960e4 -6.462330602e1
HO g 200 1000 -1.998858990e03 9.300136160e01 3.050854229e00 1.529529288e-03 -3.157890998e-06 3.315446180e-09 -1.138762683e-12 2.991214235e03 4.674110790e00
HO g 1000 6000 1.017393379e06 -2.509957276e03 5.116547860e00 1.305299930e-04 -8.284322260e-08 2.006475941e-11 -1.556993656e-15 2.019640206e04 -1.101282337e01
HO g 6000 20000 2.847234193e08 -1.859532612e05 5.008240900e01 -5.142374980e-03 2.875536589e-07 -8.228817960e-12 9.567229020e-17 1.468393908e06 -4.023555580e02
H2O g 200 1000 -3.947960830e4 5.755731020e2 9.317826530e-1 7.222712860e-3 -7.342557370e-6 4.955043490e-9 -1.336933246e-12 -3.303974310e4 1.724205775e1
H2O g 1000 6000 1.034972096e6 -2.412698562e3 4.646110780 2.291998307e-3 -6.836830480e-7 9.426468930e-11 -4.822380530e-15 -1.384286509e4 -7.978148510
H2O4S g 200 1000 -4.129150050e4 6.681589890e2 -2.632753507 5.415382480e-2 -7.067502230e-5 4.684611420e-8 -1.236791238e-11 -9.315660120e4 3.961096201e1
H2O4S g 1000 6000 1.437877914e6 -6.614902530e3 2.157662058e1 -4.806255970e-4 3.010775121e-8 2.334842469e-12 -2.946330375e-16 -5.259092950e4 -1.023603724e2
HS g 200 1000 6.389434680e03 -3.747960920e02 7.548145770e00 -1.288875477e-02 1.907786343e-05 -1.265033728e-08 3.235158690e-12 1.742902395e04 -1.760761843e01
HS g 1000 6000 1.682631601e06 -5.177152210e03 9.198168520e00 -2.323550224e-03 6.543914780e-07 -8.468470420e-11 3.864741550e-15 4.899214490e04 -3.770400275e01
H2S g 200 1000 9.543808810e3 -6.875175080e1 4.054921960 -3.014557336e-4 3.768497750e-6 -2.239358925e-9 3.086859108e-13 -3.278457280e3 1.415194691
H2S g 1000 6000 1.430040220e6 -5.284028650e3 1.016182124e1 -9.703849960e-4 2.154003405e-7 -2.169695700e-11 9.318163070e-16 2.908696214e4 -4.349160391e1
H4Si g 200 1000 7.872993290e4 -5.526087050e2 2.498944303 1.442118274e-2 -8.467107310e-6 2.726164641e-9 -5.436754370e-13 6.269669060e3 4.965461830
H4Si g 1000 6000 1.290378740e6 -7.813399780e3 1.828851664e1 -1.975620946e-3 4.156502150e-7 -4.596745610e-11 2.072777131e-15 4.766887950e4 -9.801697460e1
Kr g 200 1000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 -7.453750000e02 5.490956510e00
Kr g 1000 6000 2.643639057e02 -7.910050820e-01 2.500920585e00 -5.328164110e-07 1.620730161e-10 -2.467898017e-14 1.478585040e-18 -7.403488940e02 5.484398150e00
Kr g 6000 20000 -1.375531087e09 9.064030530e05 -2.403481435e02 3.378312030e-02 -2.563103877e-06 9.969787790e-11 -1.521249677e-15 -7.111667370e06 2.086866326e03
Mg g 200 1000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 1.694658761e04 3.634330140e00
Mg g 1000 6000 -5.364831550e05 1.973709576e03 -3.633776900e-01 2.071795561e-03 -7.738051720e-07 1.359277788e-10 -7.766898397e-15 4.829188110e03 2.339104998e01
Mg g 6000 20000 2.166012586e09 -1.008355665e06 1.619680021e02 -8.790130350e-03 -1.925690961e-08 1.725045214e-11 -4.234946112e-16 8.349525900e06 -1.469355261e03
MgO g 200 1000 3.513659740e05 -5.287197160e03 3.382060060e01 -8.400489630e-02 1.210016160e-04 -7.630795020e-08 1.701022862e-11 2.790679519e04 -1.624886199e02
MgO g 1000 6000 -1.586738367e07 3.420468100e04 -1.774087677e01 7.004963050e-03 -1.104138249e-06 8.957488530e-11 -3.052513649e-15 -2.300504434e05 1.738984472e02
MgO g 6000 20000 2.290059050e06 -2.073499632e04 1.444150005e01 -1.490609900e-03 1.052119343e-07 -3.523030610e-12 4.613111760e-17 1.490218815e05 -8.007281730e01
N2 g 200 1000 2.210371497e4 -3.818461820e2 6.082738360 -8.530914410e-03 1.384646189e-5 -9.625793620e-9 2.519705809e-12 7.108460860e2 -1.076003744e1
N2 g 1000 6000 5.877124060e5 -2.239249073e3 6.066949220 -6.139685500e-4 1.491806679e-7 -1.923105485e-11 1.061954386e-15 1.283210415e4 -1.586640027e1
N2 g 6000 20000 8.310139160e8 -6.420733540e5 2.020264635e2 -3.065092046e-2 2.486903333e-6 -9.705954110e-11 1.437538881e-15 4.938707040e6 -1.672099740e3
NO g 200 1000 -1.143916503e04 1.536467592e02 3.431468730e00 -2.668592368e-03 8.481399120e-06 -7.685111050e-09 2.386797655e-12 9.098214410e03 6.728725490e00
NO g 1000 6000 2.239018716e05 -1.289651623e03 5.433936030e00 -3.656034900e-04 9.880966450e-08 -1.416076856e-11 9.380184620e-16 1.750317656e04 -8.501669090e00
NO g 6000 20000 -9.575303540e08 5.912434480e05 -1.384566826e02 1.694339403e-02 -1.007351096e-06 2.912584076e-11 -3.295109350e-16 -4.677501240e06 1.242081216e03
Ne g 200 1000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 -7.453750000e02 3.355322720e00
Ne g 1000 6000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 -7.453750000e02 3.355322720e00
Ne g 6000 20000 -1.238252746e07 6.958579580e03 1.016709287e00 1.424664555e-04 -4.803933930e-09 -1.170213183e-13 8.415153652e-18 -5.663933630e04 1.648438697e01
