Variable,Description
PUF_ID,Unique PUF Identification Number
SURVEYYR,Survey year
VERSION,Version number
FIS_FOODLAST,"Food doesn t last, no money to get more"
FIS_AFFDMEAL,Can't afford to eat balanced meals
FIS_SKIPMEAL,Adults skip meals due to cost
FIS_EATLESS,Eat less bc not enough money
RXS_PDEASY,Mcare Rx drug benefit easy understand
RXS_PDKNOW,Mcare Rx drug benefit knowledge
RXS_PDSATSFP,Mcare Rx plan: satisfied w info
RXS_PDCONFIP,Confident level of coverage meets needs
RXS_RXUSEPLN,Used Mcare Rx drug plan past yr
RXS_RXCOSTLY,"Compared to last year, premium cost"
RXS_RXAMNTLY,"Compared to last year, Rx cost"
RXS_PDNOCVG,Rx that are not covered
RXS_RXCHGMED,Change to generic for coverage
RXS_RXSWTCH,Change to different drug for coverage
RXS_RXPARTIC,Current pharmacy participation
RXS_PDRXRATP,Level of satisfaction with Rx coverage
RXS_MCAMTPAY,Satisfaction: amt paid for Rx drugs
RXS_MCDRGLST,Satisfaction:Rx plan list/drugs covered
RXS_MCFNDPCY,Satisfaction: find pharmacy accept Rx
RXS_MCRECPLN,Recommend Rx plan to other people
RXS_GENERRX,How often ask for generic form of Rx
RXS_MAILRX,How often purchased Rx via mail/internet
RXS_DOSESRX,How often took smaller dose of Rx
RXS_SKIPRX,How often skipped doses to make Rx last
RXS_DELAYRX,How often delayed Rx because of cost
RXS_SAMPLERX,How often asked for Rx samples from Dr
RXS_COMPARRX,How often compared prices for best price
RXS_NOFILLRX,How often not get Rx because of cost
RXS_SPENTLRX,How often spent less $ to save for Rx
RXS_CHAINRX,How often purchased Rx through big chain
RXS_STOPRX,How often talk to Dr about stop Rx
RXS_CREDRX,How often pay with credit card for Rx
RXS_NOINSRX,How often purchase discounted Rx w/o ins
PUFSWGT,PUF Summer Ever Enrolled Full Sample Wt
PUFS001,PUF Summer Ever Enrolled rep wt 1
PUFS002,PUF Summer Ever Enrolled rep wt 2
PUFS003,PUF Summer Ever Enrolled rep wt 3
PUFS004,PUF Summer Ever Enrolled rep wt 4
PUFS005,PUF Summer Ever Enrolled rep wt 5
PUFS006,PUF Summer Ever Enrolled rep wt 6
PUFS007,PUF Summer Ever Enrolled rep wt 7
PUFS008,PUF Summer Ever Enrolled rep wt 8
PUFS009,PUF Summer Ever Enrolled rep wt 9
PUFS010,PUF Summer Ever Enrolled rep wt 10
PUFS011,PUF Summer Ever Enrolled rep wt 11
PUFS012,PUF Summer Ever Enrolled rep wt 12
PUFS013,PUF Summer Ever Enrolled rep wt 13
PUFS014,PUF Summer Ever Enrolled rep wt 14
PUFS015,PUF Summer Ever Enrolled rep wt 15
PUFS016,PUF Summer Ever Enrolled rep wt 16
PUFS017,PUF Summer Ever Enrolled rep wt 17
PUFS018,PUF Summer Ever Enrolled rep wt 18
PUFS019,PUF Summer Ever Enrolled rep wt 19
PUFS020,PUF Summer Ever Enrolled rep wt 20
PUFS021,PUF Summer Ever Enrolled rep wt 21
PUFS022,PUF Summer Ever Enrolled rep wt 22
PUFS023,PUF Summer Ever Enrolled rep wt 23
PUFS024,PUF Summer Ever Enrolled rep wt 24
PUFS025,PUF Summer Ever Enrolled rep wt 25
PUFS026,PUF Summer Ever Enrolled rep wt 26
PUFS027,PUF Summer Ever Enrolled rep wt 27
PUFS028,PUF Summer Ever Enrolled rep wt 28
PUFS029,PUF Summer Ever Enrolled rep wt 29
PUFS030,PUF Summer Ever Enrolled rep wt 30
PUFS031,PUF Summer Ever Enrolled rep wt 31
PUFS032,PUF Summer Ever Enrolled rep wt 32
PUFS033,PUF Summer Ever Enrolled rep wt 33
PUFS034,PUF Summer Ever Enrolled rep wt 34
PUFS035,PUF Summer Ever Enrolled rep wt 35
PUFS036,PUF Summer Ever Enrolled rep wt 36
PUFS037,PUF Summer Ever Enrolled rep wt 37
PUFS038,PUF Summer Ever Enrolled rep wt 38
PUFS039,PUF Summer Ever Enrolled rep wt 39
PUFS040,PUF Summer Ever Enrolled rep wt 40
PUFS041,PUF Summer Ever Enrolled rep wt 41
PUFS042,PUF Summer Ever Enrolled rep wt 42
PUFS043,PUF Summer Ever Enrolled rep wt 43
PUFS044,PUF Summer Ever Enrolled rep wt 44
PUFS045,PUF Summer Ever Enrolled rep wt 45
PUFS046,PUF Summer Ever Enrolled rep wt 46
PUFS047,PUF Summer Ever Enrolled rep wt 47
PUFS048,PUF Summer Ever Enrolled rep wt 48
PUFS049,PUF Summer Ever Enrolled rep wt 49
PUFS050,PUF Summer Ever Enrolled rep wt 50
PUFS051,PUF Summer Ever Enrolled rep wt 51
PUFS052,PUF Summer Ever Enrolled rep wt 52
PUFS053,PUF Summer Ever Enrolled rep wt 53
PUFS054,PUF Summer Ever Enrolled rep wt 54
PUFS055,PUF Summer Ever Enrolled rep wt 55
PUFS056,PUF Summer Ever Enrolled rep wt 56
PUFS057,PUF Summer Ever Enrolled rep wt 57
PUFS058,PUF Summer Ever Enrolled rep wt 58
PUFS059,PUF Summer Ever Enrolled rep wt 59
PUFS060,PUF Summer Ever Enrolled rep wt 60
PUFS061,PUF Summer Ever Enrolled rep wt 61
PUFS062,PUF Summer Ever Enrolled rep wt 62
PUFS063,PUF Summer Ever Enrolled rep wt 63
