DOI,Model,Avg. RMSE,Std. RMSE,Avg. R2-score,Std. R2-score
https://arxiv.org/abs/2503.17410,GRU,0.15,0.82,-0.41,1.8
https://arxiv.org/abs/2503.17410,GRU_FCN,0.152,0.82,-0.18,1.2
https://arxiv.org/abs/2503.17410,INCEPTIONTIME,0.168,0.82,-2.82,3.9
https://arxiv.org/abs/2503.17410,LSTM,0.151,0.82,-0.4,1.8
https://arxiv.org/abs/2503.17410,LSTM_FCN,0.152,0.82,-0.66,2.3
https://arxiv.org/abs/2503.17410,MEAN,1.011,2.86,0.01,0.1
https://arxiv.org/abs/2503.17410,RCLSTM,0.226,1.12,-0.12,1.1
https://arxiv.org/abs/2503.17410,RESNET,0.158,0.82,-1.03,2.8
