DOI,Model,Avg. RMSE,Std. RMSE,Avg. R2-score,Std. R2-score
https://arxiv.org/abs/2503.17410,GRU,0.22,1.14,-0.1,1.2
https://arxiv.org/abs/2503.17410,GRU_FCN,0.228,1.15,-0.19,1.1
https://arxiv.org/abs/2503.17410,INCEPTIONTIME,0.253,1.15,-2.19,3.4
https://arxiv.org/abs/2503.17410,LSTM,0.22,1.15,-0.09,1.1
https://arxiv.org/abs/2503.17410,LSTM_FCN,0.228,1.15,-0.24,1.3
https://arxiv.org/abs/2503.17410,MEAN,0.4,1.68,0.02,0.1
https://arxiv.org/abs/2503.17410,RCLSTM,0.225,1.16,0.1,1.0
https://arxiv.org/abs/2503.17410,RESNET,0.255,1.15,-1.05,2.5
