diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2]
0.01,293.15,3.18928146809,0.817877254303,2.41921375557e-12,4.46553231599e-07
0.02,293.15,3.18928146809,0.817877254303,1.54838294392e-10,3.57708434047e-06
0.03,293.15,3.18928146809,0.817877254303,1.76386684516e-09,1.20991910284e-05
0.04,293.15,3.18928146809,0.817877254303,9.91182500496e-09,2.87687470663e-05
0.05,293.15,3.18928146809,0.817877254303,3.78167712154e-08,5.64159003644e-05
0.060000000000000005,293.15,3.18928146809,0.817877254303,1.12942704997e-07,9.7972513479e-05
0.06999999999999999,293.15,3.18928146809,0.817877254303,2.84865963502e-07,0.000156501211364
0.08,293.15,3.18928146809,0.817877254303,6.3490642427e-07,0.000235226153094
0.09,293.15,3.18928146809,0.817877254303,1.28753272002e-06,0.000337565687099
0.09999999999999999,293.15,3.18928146809,0.817877254303,2.42355638386e-06,0.000467166944585
0.11,293.15,3.18928146809,0.817877254303,4.2951276547e-06,0.000627942724305
0.12,293.15,3.18928146809,0.817877254303,7.24255659796e-06,0.000824110641352
0.13,293.15,3.18928146809,0.817877254303,1.17129739213e-05,0.00106023472316
0.14,293.15,3.18928146809,0.817877254303,1.82808770191e-05,0.00134126950501
0.15000000000000002,293.15,3.18928146809,0.817877254303,2.76705699579e-05,0.00167260749463
0.16,293.15,3.18928146809,0.817877254303,4.07805719244e-05,0.00206012893828
0.17,293.15,3.18928146809,0.817877254303,5.8709977856e-05,0.00251025484774
0.18000000000000002,293.15,3.18928146809,0.817877254303,8.27869639215e-05,0.00303000345918
0.19,293.15,3.18928146809,0.817877254303,0.000114599290061,0.0036270507491
0.2,293.15,3.18928146809,0.817877254303,0.00015602711972,0.00430979254634
0.21000000000000002,293.15,3.18928146809,0.817877254303,0.000209278043438,0.00508741212524
0.22,293.15,3.18928146809,0.817877254303,0.000276924695786,0.00596995102736
0.23,293.15,3.18928146809,0.817877254303,0.000361944532012,0.00696838288684
0.24000000000000002,293.15,3.18928146809,0.817877254303,0.000467762894434,0.00809469196852
0.25,293.15,3.18928146809,0.817877254303,0.00059829830271,0.00936195434126
0.26,293.15,3.18928146809,0.817877254303,0.000758011160714,0.0107844234179
0.27,293.15,3.18928146809,0.817877254303,0.000951956014898,0.0123776179741
0.28,293.15,3.18928146809,0.817877254303,0.00118583673203,0.0141584146032
0.29000000000000004,293.15,3.18928146809,0.817877254303,0.00146606651494,0.0161451387288
0.3,293.15,3.18928146809,0.817877254303,0.00179983072504,0.0183576663004
0.31,293.15,3.18928146809,0.817877254303,0.00219515594476,0.0208175138439
0.32,293.15,3.18928146809,0.817877254303,0.00266098280469,0.023547941862
0.33,293.15,3.18928146809,0.817877254303,0.00320724470118,0.0265740452202
0.34,293.15,3.18928146809,0.817877254303,0.00384495354121,0.0299228587273
0.35000000000000003,293.15,3.18928146809,0.817877254303,0.00458628839817,0.0336234362686
0.36000000000000004,293.15,3.18928146809,0.817877254303,0.00544469652178,0.0377069449532
0.37,293.15,3.18928146809,0.817877254303,0.00643499632793,0.0422067389177
0.38,293.15,3.18928146809,0.817877254303,0.00757349050227,0.0471584369681
0.39,293.15,3.18928146809,0.817877254303,0.00887809111012,0.0525999697596
0.4,293.15,3.18928146809,0.817877254303,0.0103684470174,0.0585716328666
0.41000000000000003,293.15,3.18928146809,0.817877254303,0.0120660757281,0.0651161011354
0.42000000000000004,293.15,3.18928146809,0.817877254303,0.0139945239834,0.0722784478484
0.43,293.15,3.18928146809,0.817877254303,0.0161795108814,0.0801061085634
0.44,293.15,3.18928146809,0.817877254303,0.0186490864841,0.0886488477684
0.45,293.15,3.18928146809,0.817877254303,0.0214338067804,0.0979586710865
0.46,293.15,3.18928146809,0.817877254303,0.0245669003476,0.108089734909
0.47000000000000003,293.15,3.18928146809,0.817877254303,0.0280844200379,0.119098171042
0.48000000000000004,293.15,3.18928146809,0.817877254303,0.0320254356404,0.13104193213
0.49,293.15,3.18928146809,0.817877254303,0.0364321449506,0.143980535592
0.5,293.15,3.18928146809,0.817877254303,0.0413500602328,0.157974844193
0.51,293.15,3.18928146809,0.817877254303,0.0468280642772,0.173086710533
0.52,293.15,3.18928146809,0.817877254303,0.0529185411021,0.189378665961
0.53,293.15,3.18928146809,0.817877254303,0.0596773650576,0.206913519711
0.54,293.15,3.18928146809,0.817877254303,0.0671639134519,0.225753955987
0.55,293.15,3.18928146809,0.817877254303,0.0754409506885,0.245962092634
0.56,293.15,3.18928146809,0.817877254303,0.0845744508056,0.267598933643
0.5700000000000001,293.15,3.18928146809,0.817877254303,0.094633363423,0.290724009923
0.5800000000000001,293.15,3.18928146809,0.817877254303,0.105689202687,0.315394714064
0.59,293.15,3.18928146809,0.817877254303,0.117815543774,0.341665909331
0.6,293.15,3.18928146809,0.817877254303,0.131087417533,0.369589242561
0.61,293.15,3.18928146809,0.817877254303,0.145580482867,0.39921275302
0.62,293.15,3.18928146809,0.817877254303,0.161370199602,0.430580265827
0.63,293.15,3.18928146809,0.817877254303,0.178530698438,0.463730828174
0.64,293.15,3.18928146809,0.817877254303,0.1971335035,0.498698212996
