DOI,Model,Avg. RMSE,Std. RMSE,Avg. R2-score,Std. R2-score
https://arxiv.org/abs/2503.17410,GRU,0.219,1.15,-0.1,1.2
https://arxiv.org/abs/2503.17410,GRU_FCN,0.219,1.15,0.05,0.9
https://arxiv.org/abs/2503.17410,INCEPTIONTIME,0.238,1.15,-1.57,3.0
https://arxiv.org/abs/2503.17410,LSTM,0.22,1.15,-0.07,1.2
https://arxiv.org/abs/2503.17410,LSTM_FCN,0.219,1.15,-0.01,1.2
https://arxiv.org/abs/2503.17410,MEAN,0.392,1.66,0.06,0.1
https://arxiv.org/abs/2503.17410,RCLSTM,0.277,1.36,0.09,1.0
https://arxiv.org/abs/2503.17410,RESNET,0.235,1.15,-0.68,2.1
