DOI,Model,Avg. RMSE,Std. RMSE,Avg. R2-score,Std. R2-score
https://arxiv.org/abs/2503.17410,GRU,0.218,1.14,-0.1,1.3
https://arxiv.org/abs/2503.17410,GRU_FCN,0.217,1.15,0.06,0.8
https://arxiv.org/abs/2503.17410,INCEPTIONTIME,0.23,1.15,-1.29,3.1
https://arxiv.org/abs/2503.17410,LSTM,0.219,1.15,-0.05,1.1
https://arxiv.org/abs/2503.17410,LSTM_FCN,0.217,1.15,0.08,0.8
https://arxiv.org/abs/2503.17410,MEAN,0.383,1.63,0.12,0.2
https://arxiv.org/abs/2503.17410,RCLSTM,0.323,1.5,0.08,1.1
https://arxiv.org/abs/2503.17410,RESNET,0.22,1.15,-0.15,1.4
