R,Hprime,D
1,359.149,-82903.485
1.5,208.794,-41773.412
2,153.442,-22589.202
2.5,134.394,-11971.579
3,126.699,-6152.039
3.5,123.046,-3043.961
4,121.201,-1452.946
4.5,120.278,-664.416
5,119.836,-288.152
5.5,119.637,-115.968
6,119.555,-40.968
6.5,119.525,-10.371
7,119.516,0.861
7.5,119.516,4.136
8,119.517,4.423
