R,E
2.4,-1.102420399
2.6,-1.085792234
2.8,-1.070681265
3,-1.057324356
3.2,-1.045798736
3.4,-1.036072667
3.5,-1.031856406
3.6,-1.028044696
3.8,-1.021548309
4,-1.01638888
4.2,-1.01235869
4.4,-1.009255345
4.6,-1.006894149
4.8,-1.005115026
5,-1.003784773
5.2,-1.002796015
5.4,-1.002043336
5.6,-1.001524607
5.8,-1.00112731
6,-1.000835207
6.2,-1.000620573
6.4,-1.000462775
6.6,-1.000346643
6.8,-1.000261031
7,-1.000197796
7.2,-1.000150881
7.4,-1.000115999
7.6,-1.000089933
7.8,-1.000070354
8,-1.00005556
