R,E
6,-0.999812748
6.2,-0.999884583
6.4,-0.999934033
6.6,-0.999967485
6.8,-0.999989604
7,-1.000003776
7.2,-1.00001244
7.4,-1.000017347
7.6,-1.00001973
7.8,-1.000020462
7.85,-1.000020462
7.9,-1.000020405
8,-1.000020147
8.25,-1.000018901
8.5,-1.000017189
9,-1.000013491
9.5,-1.00001023
10,-1.000007663
11,-1.00000432
12,-1.000002516
