R,Ea(R)
0.1,1.5509581
0.2,1.548102462
0.3,1.510616374
0.35,1.483439369
0.4,1.453009381
0.45,1.420676967
0.5,1.38746488
0.55,1.354124733
0.6,1.321195464
0.65,1.289054077
0.7,1.257956515
0.75,1.228069373
0.8,1.199493971
0.85,1.172284405
0.9,1.146460975
0.95,1.122020127
1,1.098941779
1.05,1.077194705
1.1,1.056740482
1.15,1.037536351
1.2,1.019537302
1.25,1.002697554
1.3,0.986971614
1.32,0.980983093
1.34,0.975162863
1.36,0.969508182
1.38,0.964016352
1.39,0.961330677
1.4,0.958684725
1.4011,0.958396082
1.405,0.957376545
1.41,0.956078174
1.42,0.953510703
1.44,0.948491738
1.449,0.946283125
1.46,0.943625335
1.48,0.93890905
1.5,0.934340495
1.55,0.923550229
1.6,0.913633774
1.65,0.904558107
1.7,0.896292149
1.8,0.882074018
1.9,0.870764621
2,0.862170946
2.1,0.856115986
2.2,0.85243265
2.3,0.850957551
2.35,0.850996543
2.4,0.851524934
2.5,0.853961054
2.6,0.858079417
2.7,0.863677387
2.8,0.870534707
2.9,0.878414396
3,0.887066359
3.1,0.896233698
3.2,0.905661337
3.3,0.915106115
3.4,0.924347156
3.5,0.933195163
3.6,0.941499379
3.7,0.94915131
3.8,0.956084885
3.9,0.9622733
4,0.967723282
4.2,0.976558382
4.4,0.983033196
4.6,0.987680271
4.8,0.990982319
5,0.99334635
5.2,0.995040258
5.4,0.996269884
5.6,0.997172294
5.8,0.997841172
6,0.998341126
6.5,0.999117828
7,0.999511361
7.5,0.999716678
8,0.999827481
8.5,0.999887728
9,0.99992644
9.5,0.999949061
10,0.999963643
10.5,0.999973411
11,0.999981165
11.5,0.99998496
12,0.999988436
