,Channel,B,T,Isotope,G,sigma
0,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,H,1.84838393537473e-16,0.0288989094060158
1,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,T,9.35053954110073e-15,2.52971043506752
2,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220691,0.001,H,1.88567717421055e-16,0.0294819776257441
3,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220691,0.001,T,9.55564482503248e-15,2.58519995786661
4,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318843,0.001,H,1.94155806638351e-16,0.0303556580389567
5,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318843,0.001,T,9.86259087096566e-15,2.66824164888206
6,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683794,0.001,H,2.02547008039070e-16,0.0316675963459613
7,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683794,0.001,T,1.03268698935854e-14,2.79384846366977
8,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612777,0.001,H,2.15336891712226e-16,0.0336672549802433
9,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612777,0.001,T,1.10389983361379e-14,2.98650887051740
10,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579608,0.001,H,2.34821133040883e-16,0.0367135556660781
11,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579608,0.001,T,1.21358569991651e-14,3.28325482763119
12,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,H,2.64516859101746e-16,0.0413563903107363
13,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,T,1.38755074599687e-14,3.75390274101852
14,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01467799267622069,0.001,H,3.10954239656264e-16,0.0486167306978952
15,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01467799267622069,0.001,T,1.66743964300959e-14,4.51111879290558
16,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.021544346900318832,0.001,H,3.81573045337976e-16,0.0596577618857317
17,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.021544346900318832,0.001,T,2.12765699653974e-14,5.75619843403968
18,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.03162277660168379,0.001,H,4.85608572087195e-16,0.0759233937438839
19,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.03162277660168379,0.001,T,2.88417472340559e-14,7.80289400658286
20,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.046415888336127774,0.001,H,6.27037659591983e-16,0.0980353928202433
21,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.046415888336127774,0.001,T,4.10554506283717e-14,11.1072095267313
22,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.06812920690579612,0.001,H,7.98677303373356e-16,0.124870718648333
23,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.06812920690579612,0.001,T,6.00560433331745e-14,16.2476613077789
24,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1,0.001,H,9.89581455589745e-16,0.154717990606013
25,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1,0.001,T,8.87415206940374e-14,24.0082778043672
26,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1467799267622069,0.001,H,1.19513429561337e-15,0.186855539457777
27,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1467799267622069,0.001,T,1.31858968924586e-13,35.6733435733380
28,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.21544346900318823,0.001,H,1.41778107950838e-15,0.221665673403342
29,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.21544346900318823,0.001,T,1.96870395112750e-13,53.2616423558767
30,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.31622776601683794,0.001,H,1.66169799797714e-15,0.259801326903243
31,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.31622776601683794,0.001,T,2.93630014628856e-13,79.4391498790673
32,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.46415888336127775,0.001,H,1.92899970904967e-15,0.301593120180174
33,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.46415888336127775,0.001,T,4.27065055820970e-13,115.538886650794
34,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.6812920690579608,0.001,H,2.21276490796668e-15,0.345958928706961
35,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.6812920690579608,0.001,T,5.68990506761201e-13,153.935632920571
36,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.0,0.001,H,2.49040299820952e-15,0.389366782800654
37,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.0,0.001,T,6.23681656383331e-13,168.731867009182
38,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.467799267622069,0.001,H,2.71523590336610e-15,0.424518710023470
39,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.467799267622069,0.001,T,5.12707722191968e-13,138.708795280496
40,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",2.154434690031882,0.001,H,2.80309625448129e-15,0.438255403351437
41,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",2.154434690031882,0.001,T,3.28459194656352e-13,88.8618938579703
42,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",3.1622776601683795,0.001,H,2.64013654979740e-15,0.412777159073492
43,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",3.1622776601683795,0.001,T,1.82594078405325e-13,49.3993040180346
44,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",4.6415888336127775,0.001,H,2.16542337280185e-15,0.338557226551437
45,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",4.6415888336127775,0.001,T,9.42750315176150e-14,25.5053229760853
46,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",6.812920690579608,0.001,H,1.50109238130104e-15,0.234691136982235
47,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",6.812920690579608,0.001,T,4.64254111196495e-14,12.5600075210047
48,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",10.0,0.001,H,8.91058317928370e-16,0.139314203680678
49,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",10.0,0.001,T,2.36787632741593e-14,6.40609178548889
50,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.001,0.001,H,2.54782100005421e-16,0.0398343909261385
51,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.001,0.001,T,8.47581160295101e-15,2.29306009170969
52,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0014677992676220691,0.001,H,2.55771946732385e-16,0.0399891503911008
53,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0014677992676220691,0.001,T,8.55013649430489e-15,2.31316807076445
54,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0021544346900318843,0.001,H,2.57072163794361e-16,0.0401924352950815
55,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0021544346900318843,0.001,T,8.65368765203516e-15,2.34118297227064
56,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0031622776601683794,0.001,H,2.58754057817925e-16,0.0404553942079311
57,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0031622776601683794,0.001,T,8.80813464843113e-15,2.38296731816109
58,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.004641588833612777,0.001,H,2.61100534760732e-16,0.0408222585984710
59,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.004641588833612777,0.001,T,9.02147163731844e-15,2.44068386003570
60,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.006812920690579608,0.001,H,2.64038596646351e-16,0.0412816154595474
61,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.006812920690579608,0.001,T,9.30561538940286e-15,2.51755658075386
62,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.01,0.001,H,2.65220469174492e-16,0.0414663975628028
63,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.01,0.001,T,9.66267109427536e-15,2.61415502178992
64,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.01467799267622069,0.001,H,2.63907770440302e-16,0.0412611611880933
65,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.01467799267622069,0.001,T,1.00577972332144e-14,2.72105310103428
66,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.021544346900318832,0.001,H,2.54549250513993e-16,0.0397979856305220
67,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.021544346900318832,0.001,T,1.03484862682229e-14,2.79969659342189
68,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.03162277660168379,0.001,H,2.30529480285958e-16,0.0360425690718264
69,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.03162277660168379,0.001,T,1.02721811166290e-14,2.77905287148605
70,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.046415888336127774,0.001,H,1.88790508160575e-16,0.0295168102667050
71,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.046415888336127774,0.001,T,9.48386747362530e-15,2.56578119448315
72,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.06812920690579612,0.001,H,1.36388092334825e-16,0.0213238551201991
73,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.06812920690579612,0.001,T,7.94014942979326e-15,2.14814116129377
74,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.1,0.001,H,8.75871639461084e-17,0.0136939813615903
75,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.1,0.001,T,6.05109934563963e-15,1.63707442666917
76,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.1467799267622069,0.001,H,5.18574922763603e-17,0.00810775804007341
77,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.1467799267622069,0.001,T,4.33234611319410e-15,1.17208008400991
78,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.21544346900318823,0.001,H,2.92746326928127e-17,0.00457699800292014
79,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.21544346900318823,0.001,T,3.01684314423256e-15,0.816181734688288
80,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.31622776601683794,0.001,H,1.61568621962537e-17,0.00252607528100139
81,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.31622776601683794,0.001,T,2.09012358106791e-15,0.565465491094619
82,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.46415888336127775,0.001,H,8.81203633157185e-18,0.00137773454288861
83,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.46415888336127775,0.001,T,1.45111096417024e-15,0.392585960667486
84,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.6812920690579608,0.001,H,4.76985706974246e-18,0.000745752355341617
85,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.6812920690579608,0.001,T,1.00316746054162e-15,0.271398584209783
86,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",1.0,0.001,H,2.56049154311562e-18,0.000400324909361249
87,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",1.0,0.001,T,6.70232280656539e-16,0.181325749903878
88,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",1.467799267622069,0.001,H,1.35775591856766e-18,0.000212280925706129
89,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",1.467799267622069,0.001,T,4.03554383788018e-16,0.109178270547757
90,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",2.154434690031882,0.001,H,7.05489859340384e-19,0.000110301150868893
91,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",2.154434690031882,0.001,T,1.94594757264591e-16,0.0526459875280864
92,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",3.1622776601683795,0.001,H,3.53929290917528e-19,5.53357466412272e-5
93,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",3.1622776601683795,0.001,T,7.01726557867430e-17,0.0189846263758196
94,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",4.6415888336127775,0.001,H,1.67149297215401e-19,2.61332740728878e-5
95,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",4.6415888336127775,0.001,T,2.01749192554136e-17,0.00545815602861527
96,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",6.812920690579608,0.001,H,7.13361632428660e-20,1.11531878170668e-5
97,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",6.812920690579608,0.001,T,5.12122269771514e-18,0.00138550406014214
98,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",10.0,0.001,H,2.62952143248037e-20,4.11117518412219e-6
99,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",10.0,0.001,T,1.22523438146163e-18,0.000331476936337527
100,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.001,0.001,H,1.29309812844209e-16,0.0202171880807655
101,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'd'}",0.001,0.001,T,4.27619284781182e-15,1.15688828670492
