,Channel,B,T,Isotope,G,sigma
0,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,H,1.84953631358986e-16,0.0289169264819074
1,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,T,9.71059328159010e-15,2.62711996961871
2,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220691,0.001,H,1.88692825385189e-16,0.0295015378678144
3,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220691,0.001,T,9.92385261454845e-15,2.68481550232983
4,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318843,0.001,H,1.94284889040887e-16,0.0303758396721413
5,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318843,0.001,T,1.02428373567813e-14,2.77111416215655
6,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683794,0.001,H,2.02683052977052e-16,0.0316888665499630
7,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683794,0.001,T,1.07259926008341e-14,2.90182778111571
8,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612777,0.001,H,2.15448606261285e-16,0.0336847212034170
9,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612777,0.001,T,1.14666051046517e-14,3.10219431301622
10,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579608,0.001,H,2.34974645774764e-16,0.0367375569057783
11,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579608,0.001,T,1.26076402156479e-14,3.41089183943999
12,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,H,2.64706912281536e-16,0.0413861045357951
13,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,T,1.44177242085448e-14,3.90059495711068
14,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01467799267622069,0.001,H,3.11168656792802e-16,0.0486502541520073
15,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01467799267622069,0.001,T,1.73336516563738e-14,4.68947479235968
16,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.021544346900318832,0.001,H,3.81790213897027e-16,0.0596917155162179
17,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.021544346900318832,0.001,T,2.21265030355823e-14,5.98614073280273
18,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.03162277660168379,0.001,H,4.86008021531187e-16,0.0759858464252413
19,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.03162277660168379,0.001,T,3.00092050677082e-14,8.11873998010237
20,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.046415888336127774,0.001,H,6.27502724687741e-16,0.0981081043051952
21,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.046415888336127774,0.001,T,4.27565766887014e-14,11.5674349850875
22,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.06812920690579612,0.001,H,7.99191321852178e-16,0.124951083842859
23,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.06812920690579612,0.001,T,6.26170535351980e-14,16.9405212442453
24,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1,0.001,H,9.90847689746465e-16,0.154915962388182
25,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1,0.001,T,9.26739661470218e-14,25.0721681022503
26,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1467799267622069,0.001,H,1.19657552637215e-15,0.187080871415785
27,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1467799267622069,0.001,T,1.37891489332020e-13,37.3053916233318
