,Channel,B,T,Isotope,G,sigma
0,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,H,2.20270033472564e-13,34.4385363904019
1,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,T,9.76547078279916e-11,26419.6661957391
2,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220691,0.001,H,2.20094896530271e-13,34.4111542728011
3,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220691,0.001,T,9.75640410507099e-11,26395.1370558327
4,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318843,0.001,H,2.19718313603605e-13,34.3522767004890
5,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318843,0.001,T,9.73688372193887e-11,26342.3262884018
6,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683794,0.001,H,2.18910402234428e-13,34.2259622642990
7,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683794,0.001,T,9.69509448812178e-11,26229.2690039576
8,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612777,0.001,H,2.17185497445337e-13,33.9562787516915
9,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612777,0.001,T,9.60588302728664e-11,25987.9148420824
10,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579608,0.001,H,2.13540631073652e-13,33.3864152019360
11,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579608,0.001,T,9.41755641339033e-11,25478.4129055574
12,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,H,2.06014747939799e-13,32.2097667214816
13,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,T,9.02913654787746e-11,24427.5753761759
